id,name,mode,quiet_cap,session,c1_dir,ema_align,sl,tp_mode,rr,risk,hesitation,seed,trades,wins,losses,wr,net,pf,maxdd,avg_win,avg_loss,benchmark,emotional_drag
Agent_00395,Agent_00395,VeryTight,3.0,,True,False,2.0,rr,2.5,0.25,0.3,575023565,4,3,1,75.0,4.93,7.487,-0.76,1.897,-0.76,False,0.0
Agent_01298,Agent_01298,VeryTight,3.0,,True,True,3.0,close,2.5,1.0,0.1,384286707,4,3,1,75.0,4.93,7.487,-0.76,1.897,-0.76,False,0.0
Agent_01885,Agent_01885,VeryTight,3.0,,True,False,2.0,rr,2.5,1.0,0.0,356483054,4,3,1,75.0,4.93,7.487,-0.76,1.897,-0.76,False,0.0
Agent_02150,Agent_02150,VeryTight,3.0,,True,True,5.0,rr,2.5,1.0,0.0,1900804663,4,3,1,75.0,4.93,7.487,-0.76,1.897,-0.76,False,0.0
Agent_03344,Agent_03344,VeryTight,3.0,,True,False,5.0,rr,2.5,1.0,0.2,1550185535,4,3,1,75.0,4.93,7.487,-0.76,1.897,-0.76,False,0.0
Agent_03546,Agent_03546,VeryTight,3.0,,True,False,5.0,close,2.5,0.25,0.1,1268503002,4,3,1,75.0,4.93,7.487,-0.76,1.897,-0.76,False,0.0
Agent_03874,Agent_03874,VeryTight,3.0,,True,False,1.5,close,2.5,1.0,0.0,275498496,4,3,1,75.0,4.93,7.487,-0.76,1.897,-0.76,False,0.0
Agent_04545,Agent_04545,VeryTight,3.0,,True,True,3.0,close,2.5,1.0,0.1,262590435,4,3,1,75.0,4.93,7.487,-0.76,1.897,-0.76,False,0.0
Agent_05439,Agent_05439,VeryTight,3.0,,True,False,2.0,rr,2.5,0.75,0.3,228898962,4,3,1,75.0,4.93,7.487,-0.76,1.897,-0.76,False,0.0
Agent_05951,Agent_05951,VeryTight,3.0,,True,False,3.0,rr,2.5,1.0,0.3,1037468047,4,3,1,75.0,4.93,7.487,-0.76,1.897,-0.76,False,0.0
Agent_06706,Agent_06706,VeryTight,3.0,,True,False,2.0,rr,2.5,1.0,0.1,2006540510,4,3,1,75.0,4.93,7.487,-0.76,1.897,-0.76,False,0.0
Agent_07408,Agent_07408,VeryTight,3.0,,True,False,5.0,close,2.5,0.75,0.2,633512456,4,3,1,75.0,4.93,7.487,-0.76,1.897,-0.76,False,0.0
Agent_08055,Agent_08055,VeryTight,3.0,,True,True,2.0,rr,2.5,0.25,0.3,2135451767,4,3,1,75.0,4.93,7.487,-0.76,1.897,-0.76,False,0.0
Agent_09846,Agent_09846,VeryTight,3.0,,True,True,2.0,rr,2.5,0.25,0.0,540201266,4,3,1,75.0,4.93,7.487,-0.76,1.897,-0.76,False,0.0
Agent_01303,Agent_01303,Sw0.6_Wi1.2,1.5,,True,True,3.0,rr,1.3,0.5,0.1,1100706611,43,29,14,67.44,15.66,2.684,-4.89,0.861,-0.664,False,0.0
Agent_02330,Agent_02330,Sw0.6_Wi1.2,1.5,,True,True,5.0,rr,1.25,0.5,0.1,841313636,43,29,14,67.44,15.35,2.597,-5.2,0.861,-0.686,False,0.0
Agent_03673,Agent_03673,Sw0.6_Wi1.2,1.5,,True,True,3.0,rr,1.3,0.5,0.3,1621990911,43,29,14,67.44,15.66,2.684,-4.89,0.861,-0.664,False,0.0
Agent_04981,Agent_04981,Sw0.6_Wi1.2,1.5,,True,True,3.0,rr,1.3,0.25,0.0,235398772,43,29,14,67.44,15.66,2.684,-4.89,0.861,-0.664,False,0.0
Agent_06879,Agent_06879,Sw0.6_Wi1.2,1.5,,True,True,5.0,rr,1.25,0.25,0.1,1116299376,43,29,14,67.44,15.35,2.597,-5.2,0.861,-0.686,False,0.0
Agent_06790,Agent_06790,Sw0.6_Wi1.2,1.5,,False,True,3.0,rr,1.41,1.0,0.2,643241257,46,31,15,67.39,19.0,2.904,-5.57,0.935,-0.665,False,0.0
Agent_08200,Agent_08200,Sw0.6_Wi1.2,1.5,,False,True,5.0,close,1.36,0.5,0.2,528119214,46,31,15,67.39,18.69,2.816,-5.88,0.935,-0.686,False,0.0
Agent_07175,Agent_07175,Sw0.6_Wi1.2,1.5,,False,False,2.0,rr,1.39,0.5,0.1,306952252,49,32,17,65.31,18.04,2.612,-5.24,0.913,-0.658,False,0.0
Agent_08532,Agent_08532,Sw0.6_Wi1.2,1.5,,False,False,5.0,close,1.0,0.5,0.1,2048839342,49,32,17,65.31,13.73,1.886,-9.55,0.913,-0.912,False,0.0
Agent_08770,Agent_08770,Sw0.6_Wi1.2,1.5,,False,False,3.0,close,1.18,0.25,0.3,585293783,49,32,17,65.31,16.04,2.216,-7.24,0.913,-0.776,False,0.0
Agent_09356,Agent_09356,Sw0.6_Wi1.2,1.5,,False,False,5.0,close,1.0,0.5,0.1,294927435,49,32,17,65.31,13.73,1.886,-9.55,0.913,-0.912,False,0.0
Agent_04073,Agent_04073,Sw0.6_Wi1.2,1.5,,True,False,3.0,close,1.07,1.0,0.0,112958546,46,30,16,65.22,12.7,2.015,-6.56,0.84,-0.782,False,0.0
Agent_05678,Agent_05678,Sw0.6_Wi1.2,1.5,,True,False,5.0,close,0.91,0.25,0.3,1848781189,46,30,16,65.22,10.39,1.701,-8.87,0.84,-0.926,False,0.0
Agent_06459,Agent_06459,Sw0.6_Wi1.2,1.5,,True,False,3.0,close,1.07,0.75,0.3,1812482673,46,30,16,65.22,12.7,2.015,-6.56,0.84,-0.782,False,0.0
Agent_05291,Agent_05291,Sw0.6_Wi1.2,1.5,,True,True,1.5,close,1.34,1.0,0.0,1227116098,43,28,15,65.12,14.0,2.505,-3.62,0.832,-0.62,False,0.0
Agent_05902,Agent_05902,Sw0.6_Wi1.2,1.5,,True,True,1.5,close,1.34,0.75,0.0,389289133,43,28,15,65.12,14.0,2.505,-3.62,0.832,-0.62,False,0.0
Agent_04631,Agent_04631,Sw0.6_Wi1.2,1.5,,True,False,1.5,close,1.25,1.0,0.2,814754322,46,29,17,63.04,12.54,2.139,-5.12,0.812,-0.648,False,0.0
Agent_08596,Agent_08596,Sw0.6_Wi1.2,1.5,,True,False,1.5,rr,1.25,0.5,0.3,1571844149,46,29,17,63.04,12.54,2.139,-5.12,0.812,-0.648,False,0.0
Agent_09800,Agent_09800,Sw0.6_Wi1.2,1.5,,True,False,1.5,rr,1.25,0.75,0.3,1059294273,46,29,17,63.04,12.54,2.139,-5.12,0.812,-0.648,False,0.0
Agent_07196,Agent_07196,Sw0.6_Wi1.2,1.5,,True,False,1.0,rr,1.25,0.5,0.2,1251583400,46,28,18,60.87,11.39,1.943,-4.61,0.838,-0.671,False,0.0
Agent_00442,Agent_00442,VeryTight,3.0,,False,True,5.0,close,4.31,0.5,0.3,999329934,5,3,2,60.0,4.81,6.466,-0.76,1.897,-0.44,False,0.0
Agent_01696,Agent_01696,VeryTight,3.0,,False,False,2.0,close,4.31,0.75,0.0,1448523257,5,3,2,60.0,4.81,6.466,-0.76,1.897,-0.44,False,0.0
Agent_02328,Agent_02328,VeryTight,3.0,,False,False,2.0,close,4.31,1.0,0.3,770186914,5,3,2,60.0,4.81,6.466,-0.76,1.897,-0.44,False,0.0
Agent_02388,Agent_02388,VeryTight,3.0,,False,False,1.5,rr,4.31,1.0,0.3,1501437957,5,3,2,60.0,4.81,6.466,-0.76,1.897,-0.44,False,0.0
Agent_03453,Agent_03453,VeryTight,3.0,,False,True,2.0,rr,4.31,0.5,0.3,2104931479,5,3,2,60.0,4.81,6.466,-0.76,1.897,-0.44,False,0.0
Agent_05335,Agent_05335,VeryTight,3.0,,False,False,3.0,rr,4.31,0.25,0.2,710606128,5,3,2,60.0,4.81,6.466,-0.76,1.897,-0.44,False,0.0
Agent_05377,Agent_05377,VeryTight,3.0,,False,True,1.5,rr,4.31,0.5,0.1,1674499708,5,3,2,60.0,4.81,6.466,-0.76,1.897,-0.44,False,0.0
Agent_06524,Agent_06524,VeryTight,3.0,,False,False,1.5,rr,4.31,0.75,0.1,604569957,5,3,2,60.0,4.81,6.466,-0.76,1.897,-0.44,False,0.0
Agent_07324,Agent_07324,VeryTight,3.0,,False,True,3.0,rr,4.31,0.5,0.2,1679094676,5,3,2,60.0,4.81,6.466,-0.76,1.897,-0.44,False,0.0
Agent_09943,Agent_09943,VeryTight,3.0,,False,True,3.0,close,4.31,1.0,0.3,1865780261,5,3,2,60.0,4.81,6.466,-0.76,1.897,-0.44,False,0.0
Agent_01925,Agent_01925,Sw0.6_Wi1.2,2.0,,True,True,5.0,rr,0.86,0.5,0.3,97083224,176,99,77,56.25,8.28,1.109,-15.12,0.85,-0.986,False,0.0
Agent_03301,Agent_03301,Sw0.6_Wi1.2,2.0,,True,True,3.0,rr,0.87,1.0,0.3,2074372935,176,99,77,56.25,9.01,1.12,-14.06,0.85,-0.976,False,0.0
Agent_02232,Agent_02232,Sw0.6_Wi1.2,2.0,,False,True,3.0,close,0.89,0.25,0.0,1741133150,212,119,93,56.13,13.27,1.14,-12.39,0.906,-1.016,False,0.0
Agent_03587,Agent_03587,Sw0.6_Wi1.2,2.0,,False,True,3.0,close,0.89,0.25,0.2,1507194785,212,119,93,56.13,13.27,1.14,-12.39,0.906,-1.016,False,0.0
Agent_06664,Agent_06664,Sw0.6_Wi1.2,2.0,,False,True,3.0,close,0.89,0.5,0.3,773096683,212,119,93,56.13,13.27,1.14,-12.39,0.906,-1.016,False,0.0
Agent_08453,Agent_08453,Sw0.6_Wi1.2,2.0,,False,True,5.0,close,0.88,0.75,0.0,526409990,212,119,93,56.13,11.84,1.123,-15.12,0.906,-1.032,False,0.0
Agent_08976,Agent_08976,Sw0.6_Wi1.2,2.0,,False,True,3.0,rr,0.89,0.75,0.1,608207322,212,119,93,56.13,13.27,1.14,-12.39,0.906,-1.016,False,0.0
Agent_04751,Agent_04751,Sw0.6_Wi1.2,2.0,,False,False,5.0,rr,0.92,0.5,0.2,786738077,236,131,105,55.51,15.35,1.142,-15.83,0.943,-1.03,False,0.0
Agent_05854,Agent_05854,Sw0.6_Wi1.2,2.0,,False,False,3.0,rr,0.95,0.75,0.0,1324142596,236,131,105,55.51,18.78,1.179,-12.13,0.943,-0.997,False,0.0
Agent_09428,Agent_09428,Sw0.6_Wi1.2,2.0,,False,False,5.0,rr,0.92,0.25,0.1,94549271,236,131,105,55.51,15.35,1.142,-15.83,0.943,-1.03,False,0.0
