idx,time,side,price
457,2025.06.24 08:37:00,SELL,3335.22
458,2025.06.24 08:38:00,SELL,3334.16
460,2025.06.24 08:40:00,SELL,3335.53
463,2025.06.24 08:43:00,SELL,3333.70
467,2025.06.24 08:47:00,SELL,3331.09
468,2025.06.24 08:48:00,SELL,3332.63
473,2025.06.24 08:53:00,SELL,3327.74
474,2025.06.24 08:54:00,SELL,3328.48
494,2025.06.24 09:14:00,SELL,3324.74
495,2025.06.24 09:15:00,SELL,3325.58
507,2025.06.24 09:27:00,SELL,3322.48
508,2025.06.24 09:28:00,SELL,3322.70
515,2025.06.24 09:35:00,SELL,3317.56
516,2025.06.24 09:36:00,SELL,3316.68
871,2025.06.24 15:31:00,SELL,3309.34
872,2025.06.24 15:32:00,SELL,3309.14
876,2025.06.24 15:36:00,SELL,3306.12
937,2025.06.24 16:37:00,SELL,3301.13
938,2025.06.24 16:38:00,SELL,3300.83
939,2025.06.24 16:39:00,SELL,3300.54
940,2025.06.24 16:40:00,SELL,3297.06
941,2025.06.24 16:41:00,SELL,3297.86
1570,2025.06.25 04:11:00,BUY,3330.74
1571,2025.06.25 04:12:00,BUY,3331.07
1577,2025.06.25 04:18:00,BUY,3332.82
1578,2025.06.25 04:19:00,BUY,3332.44
1965,2025.06.25 10:46:00,BUY,3335.72
2314,2025.06.25 16:35:00,SELL,3313.26
2964,2025.06.26 04:26:00,SELL,3331.73
3244,2025.06.26 09:06:00,SELL,3333.03
3248,2025.06.26 09:10:00,SELL,3332.39
3290,2025.06.26 09:52:00,BUY,3338.62
3293,2025.06.26 09:55:00,BUY,3339.51
3294,2025.06.26 09:56:00,BUY,3340.07
3295,2025.06.26 09:57:00,BUY,3339.23
3626,2025.06.26 15:28:00,BUY,3342.27
3635,2025.06.26 15:37:00,SELL,3332.82
3647,2025.06.26 15:49:00,SELL,3331.39
3652,2025.06.26 15:54:00,SELL,3326.84
3655,2025.06.26 15:57:00,SELL,3325.71
3657,2025.06.26 15:59:00,SELL,3321.98
3658,2025.06.26 16:00:00,SELL,3320.69
3659,2025.06.26 16:01:00,SELL,3323.08
3661,2025.06.26 16:03:00,SELL,3319.97
3662,2025.06.26 16:04:00,SELL,3322.57
3668,2025.06.26 16:10:00,SELL,3317.00
3669,2025.06.26 16:11:00,SELL,3317.76
3692,2025.06.26 16:34:00,SELL,3313.78
3693,2025.06.26 16:35:00,SELL,3311.11
3694,2025.06.26 16:36:00,SELL,3312.28
3711,2025.06.26 16:53:00,BUY,3328.27
4143,2025.06.27 01:06:00,SELL,3322.96
4154,2025.06.27 01:17:00,SELL,3321.36
5038,2025.06.27 16:01:00,SELL,3266.67
5039,2025.06.27 16:02:00,SELL,3265.63
5040,2025.06.27 16:03:00,SELL,3265.60
5042,2025.06.27 16:05:00,SELL,3267.23
5055,2025.06.27 16:18:00,SELL,3261.46
5062,2025.06.27 16:25:00,SELL,3257.95
5066,2025.06.27 16:29:00,SELL,3256.83
5516,2025.06.30 01:01:00,BUY,3276.64
5526,2025.06.30 01:11:00,SELL,3267.44
5527,2025.06.30 01:12:00,SELL,3265.46
5528,2025.06.30 01:13:00,SELL,3264.56
5529,2025.06.30 01:14:00,SELL,3265.71
5531,2025.06.30 01:16:00,SELL,3261.65
5536,2025.06.30 01:21:00,SELL,3259.34
5538,2025.06.30 01:23:00,SELL,3256.30
5542,2025.06.30 01:27:00,SELL,3249.88
5543,2025.06.30 01:28:00,SELL,3247.85
5544,2025.06.30 01:29:00,SELL,3249.18
6947,2025.07.01 01:53:00,BUY,3313.47
7776,2025.07.01 15:42:00,BUY,3357.48
7804,2025.07.01 16:10:00,SELL,3348.73
7861,2025.07.01 17:07:00,BUY,3352.85
8299,2025.07.02 01:26:00,BUY,3343.14
8300,2025.07.02 01:27:00,BUY,3342.57
8401,2025.07.02 03:08:00,BUY,3342.04
