idx,time,side,price
35,2024.06.24 01:35:00,BUY,2321.75
61,2024.06.24 02:01:00,SELL,2321.14
64,2024.06.24 02:04:00,SELL,2321.23
79,2024.06.24 02:19:00,SELL,2319.90
99,2024.06.24 02:39:00,SELL,2319.77
107,2024.06.24 02:47:00,SELL,2317.85
121,2024.06.24 03:01:00,BUY,2319.92
125,2024.06.24 03:05:00,BUY,2320.41
148,2024.06.24 03:28:00,SELL,2318.28
160,2024.06.24 03:40:00,BUY,2320.95
181,2024.06.24 04:01:00,SELL,2319.69
188,2024.06.24 04:08:00,BUY,2323.31
209,2024.06.24 04:29:00,BUY,2324.45
213,2024.06.24 04:33:00,BUY,2324.98
227,2024.06.24 04:47:00,BUY,2325.02
231,2024.06.24 04:51:00,BUY,2325.19
238,2024.06.24 04:58:00,SELL,2323.18
253,2024.06.24 05:13:00,SELL,2320.20
271,2024.06.24 05:31:00,BUY,2322.17
282,2024.06.24 05:42:00,BUY,2325.05
301,2024.06.24 06:01:00,BUY,2325.19
303,2024.06.24 06:03:00,BUY,2325.49
314,2024.06.24 06:14:00,BUY,2325.34
318,2024.06.24 06:18:00,BUY,2326.08
373,2024.06.24 07:13:00,BUY,2326.41
393,2024.06.24 07:33:00,SELL,2325.09
424,2024.06.24 08:04:00,BUY,2325.35
451,2024.06.24 08:31:00,BUY,2326.88
458,2024.06.24 08:38:00,SELL,2324.45
485,2024.06.24 09:05:00,SELL,2323.10
502,2024.06.24 09:22:00,SELL,2322.11
512,2024.06.24 09:32:00,BUY,2324.70
531,2024.06.24 09:51:00,SELL,2322.71
545,2024.06.24 10:05:00,SELL,2321.83
554,2024.06.24 10:14:00,BUY,2325.18
568,2024.06.24 10:28:00,BUY,2327.51
573,2024.06.24 10:33:00,BUY,2329.10
602,2024.06.24 11:02:00,BUY,2331.43
606,2024.06.24 11:06:00,BUY,2331.57
611,2024.06.24 11:11:00,SELL,2329.69
653,2024.06.24 11:53:00,BUY,2331.34
662,2024.06.24 12:02:00,SELL,2329.38
668,2024.06.24 12:08:00,SELL,2326.77
692,2024.06.24 12:32:00,SELL,2324.36
727,2024.06.24 13:07:00,BUY,2325.99
729,2024.06.24 13:09:00,BUY,2326.17
747,2024.06.24 13:27:00,SELL,2325.15
749,2024.06.24 13:29:00,SELL,2324.58
777,2024.06.24 13:57:00,SELL,2325.07
782,2024.06.24 14:02:00,SELL,2325.33
792,2024.06.24 14:12:00,BUY,2325.60
801,2024.06.24 14:21:00,SELL,2324.39
812,2024.06.24 14:32:00,BUY,2325.98
814,2024.06.24 14:34:00,BUY,2327.04
841,2024.06.24 15:01:00,SELL,2324.76
864,2024.06.24 15:24:00,SELL,2324.57
915,2024.06.24 16:15:00,BUY,2327.37
927,2024.06.24 16:27:00,BUY,2330.08
932,2024.06.24 16:32:00,BUY,2332.41
948,2024.06.24 16:48:00,SELL,2329.50
961,2024.06.24 17:01:00,SELL,2328.44
994,2024.06.24 17:34:00,BUY,2331.52
998,2024.06.24 17:38:00,BUY,2331.95
1002,2024.06.24 17:42:00,BUY,2333.38
1032,2024.06.24 18:12:00,BUY,2332.82
1048,2024.06.24 18:28:00,SELL,2330.14
1055,2024.06.24 18:35:00,SELL,2329.84
1069,2024.06.24 18:49:00,SELL,2327.99
1114,2024.06.24 19:34:00,BUY,2330.78
1138,2024.06.24 19:58:00,BUY,2331.85
1175,2024.06.24 20:35:00,BUY,2332.50
1179,2024.06.24 20:39:00,BUY,2332.97
1247,2024.06.24 21:47:00,BUY,2334.33
1261,2024.06.24 22:01:00,SELL,2332.73
1280,2024.06.24 22:20:00,SELL,2331.27
1298,2024.06.24 22:38:00,BUY,2332.76
1301,2024.06.24 22:41:00,BUY,2333.12
1316,2024.06.24 22:56:00,SELL,2331.44
1351,2024.06.24 23:31:00,SELL,2332.84
1358,2024.06.24 23:38:00,BUY,2332.95
1364,2024.06.24 23:44:00,SELL,2332.50
1372,2024.06.24 23:52:00,BUY,2333.66
1395,2024.06.25 01:16:00,SELL,2333.21
1420,2024.06.25 01:41:00,SELL,2332.42
1436,2024.06.25 01:57:00,SELL,2332.00
1438,2024.06.25 01:59:00,SELL,2331.66
1444,2024.06.25 02:05:00,SELL,2331.21
1448,2024.06.25 02:09:00,SELL,2330.91
1451,2024.06.25 02:12:00,SELL,2330.39
1475,2024.06.25 02:36:00,BUY,2331.24
1491,2024.06.25 02:52:00,SELL,2330.53
1501,2024.06.25 03:02:00,SELL,2330.38
1506,2024.06.25 03:07:00,SELL,2329.95
1536,2024.06.25 03:37:00,SELL,2328.61
1569,2024.06.25 04:10:00,SELL,2328.64
1580,2024.06.25 04:21:00,SELL,2328.03
1587,2024.06.25 04:28:00,SELL,2326.65
1611,2024.06.25 04:52:00,SELL,2323.95
1624,2024.06.25 05:05:00,BUY,2326.21
1651,2024.06.25 05:32:00,BUY,2326.78
1674,2024.06.25 05:55:00,SELL,2325.89
1680,2024.06.25 06:01:00,BUY,2326.85
1688,2024.06.25 06:09:00,BUY,2327.62
1708,2024.06.25 06:29:00,BUY,2328.02
1731,2024.06.25 06:52:00,SELL,2325.58
1771,2024.06.25 07:32:00,BUY,2327.13
1781,2024.06.25 07:42:00,BUY,2327.38
1805,2024.06.25 08:06:00,BUY,2328.11
1807,2024.06.25 08:08:00,BUY,2328.21
1828,2024.06.25 08:29:00,BUY,2329.38
1839,2024.06.25 08:40:00,SELL,2326.27
1842,2024.06.25 08:43:00,SELL,2326.22
1863,2024.06.25 09:04:00,SELL,2324.03
1886,2024.06.25 09:27:00,BUY,2325.23
1908,2024.06.25 09:49:00,BUY,2326.85
1947,2024.06.25 10:28:00,SELL,2326.08
1957,2024.06.25 10:38:00,SELL,2326.19
1961,2024.06.25 10:42:00,SELL,2324.40
1983,2024.06.25 11:04:00,SELL,2323.46
2025,2024.06.25 11:46:00,BUY,2328.39
2047,2024.06.25 12:08:00,BUY,2330.64
2057,2024.06.25 12:18:00,BUY,2332.47
2090,2024.06.25 12:51:00,BUY,2333.57
2107,2024.06.25 13:08:00,BUY,2334.73
2111,2024.06.25 13:12:00,BUY,2335.56
2162,2024.06.25 14:03:00,SELL,2334.01
2165,2024.06.25 14:06:00,SELL,2333.76
2184,2024.06.25 14:25:00,SELL,2331.35
2233,2024.06.25 15:14:00,SELL,2328.64
2251,2024.06.25 15:32:00,SELL,2327.37
2281,2024.06.25 16:02:00,SELL,2324.54
2308,2024.06.25 16:29:00,SELL,2324.19
2315,2024.06.25 16:36:00,SELL,2323.42
2330,2024.06.25 16:51:00,BUY,2325.78
2348,2024.06.25 17:09:00,SELL,2321.26
