idx,time,side,price
35,2024.06.24 01:35:00,SELL,2321.75
61,2024.06.24 02:01:00,BUY,2321.14
64,2024.06.24 02:04:00,BUY,2321.23
79,2024.06.24 02:19:00,BUY,2319.90
80,2024.06.24 02:20:00,BUY,2319.96
99,2024.06.24 02:39:00,BUY,2319.77
107,2024.06.24 02:47:00,BUY,2317.85
108,2024.06.24 02:48:00,BUY,2318.26
109,2024.06.24 02:49:00,BUY,2318.36
121,2024.06.24 03:01:00,SELL,2319.92
125,2024.06.24 03:05:00,SELL,2320.41
148,2024.06.24 03:28:00,BUY,2318.28
160,2024.06.24 03:40:00,SELL,2320.95
161,2024.06.24 03:41:00,SELL,2320.87
181,2024.06.24 04:01:00,BUY,2319.69
182,2024.06.24 04:02:00,BUY,2319.81
188,2024.06.24 04:08:00,SELL,2323.31
189,2024.06.24 04:09:00,SELL,2323.34
209,2024.06.24 04:29:00,SELL,2324.45
213,2024.06.24 04:33:00,SELL,2324.98
227,2024.06.24 04:47:00,SELL,2325.02
231,2024.06.24 04:51:00,SELL,2325.19
238,2024.06.24 04:58:00,BUY,2323.18
239,2024.06.24 04:59:00,BUY,2323.64
253,2024.06.24 05:13:00,BUY,2320.20
271,2024.06.24 05:31:00,SELL,2322.17
272,2024.06.24 05:32:00,SELL,2322.29
273,2024.06.24 05:33:00,SELL,2322.13
282,2024.06.24 05:42:00,SELL,2325.05
283,2024.06.24 05:43:00,SELL,2324.60
301,2024.06.24 06:01:00,SELL,2325.19
303,2024.06.24 06:03:00,SELL,2325.49
314,2024.06.24 06:14:00,SELL,2325.34
318,2024.06.24 06:18:00,SELL,2326.08
373,2024.06.24 07:13:00,SELL,2326.41
374,2024.06.24 07:14:00,SELL,2326.51
375,2024.06.24 07:15:00,SELL,2325.92
393,2024.06.24 07:33:00,BUY,2325.09
424,2024.06.24 08:04:00,SELL,2325.35
425,2024.06.24 08:05:00,SELL,2325.53
426,2024.06.24 08:06:00,SELL,2325.44
451,2024.06.24 08:31:00,SELL,2326.88
452,2024.06.24 08:32:00,SELL,2326.30
458,2024.06.24 08:38:00,BUY,2324.45
459,2024.06.24 08:39:00,BUY,2323.88
460,2024.06.24 08:40:00,BUY,2323.74
461,2024.06.24 08:41:00,BUY,2323.88
485,2024.06.24 09:05:00,BUY,2323.10
486,2024.06.24 09:06:00,BUY,2323.10
502,2024.06.24 09:22:00,BUY,2322.11
512,2024.06.24 09:32:00,SELL,2324.70
531,2024.06.24 09:51:00,BUY,2322.71
545,2024.06.24 10:05:00,BUY,2321.83
546,2024.06.24 10:06:00,BUY,2322.29
554,2024.06.24 10:14:00,SELL,2325.18
555,2024.06.24 10:15:00,SELL,2324.67
568,2024.06.24 10:28:00,SELL,2327.51
569,2024.06.24 10:29:00,SELL,2327.47
573,2024.06.24 10:33:00,SELL,2329.10
574,2024.06.24 10:34:00,SELL,2329.13
602,2024.06.24 11:02:00,SELL,2331.43
606,2024.06.24 11:06:00,SELL,2331.57
611,2024.06.24 11:11:00,BUY,2329.69
612,2024.06.24 11:12:00,BUY,2329.70
653,2024.06.24 11:53:00,SELL,2331.34
654,2024.06.24 11:54:00,SELL,2331.31
655,2024.06.24 11:55:00,SELL,2330.61
662,2024.06.24 12:02:00,BUY,2329.38
668,2024.06.24 12:08:00,BUY,2326.77
669,2024.06.24 12:09:00,BUY,2326.08
670,2024.06.24 12:10:00,BUY,2327.76
692,2024.06.24 12:32:00,BUY,2324.36
693,2024.06.24 12:33:00,BUY,2323.22
694,2024.06.24 12:34:00,BUY,2324.87
727,2024.06.24 13:07:00,SELL,2325.99
729,2024.06.24 13:09:00,SELL,2326.17
747,2024.06.24 13:27:00,BUY,2325.15
749,2024.06.24 13:29:00,BUY,2324.58
750,2024.06.24 13:30:00,BUY,2324.64
777,2024.06.24 13:57:00,BUY,2325.07
782,2024.06.24 14:02:00,BUY,2325.33
792,2024.06.24 14:12:00,SELL,2325.60
801,2024.06.24 14:21:00,BUY,2324.39
812,2024.06.24 14:32:00,SELL,2325.98
814,2024.06.24 14:34:00,SELL,2327.04
815,2024.06.24 14:35:00,SELL,2326.14
841,2024.06.24 15:01:00,BUY,2324.76
842,2024.06.24 15:02:00,BUY,2324.46
843,2024.06.24 15:03:00,BUY,2325.29
864,2024.06.24 15:24:00,BUY,2324.57
865,2024.06.24 15:25:00,BUY,2324.02
866,2024.06.24 15:26:00,BUY,2323.50
867,2024.06.24 15:27:00,BUY,2323.58
868,2024.06.24 15:28:00,BUY,2324.20
915,2024.06.24 16:15:00,SELL,2327.37
927,2024.06.24 16:27:00,SELL,2330.08
928,2024.06.24 16:28:00,SELL,2331.08
929,2024.06.24 16:29:00,SELL,2330.68
930,2024.06.24 16:30:00,SELL,2330.86
932,2024.06.24 16:32:00,SELL,2332.41
933,2024.06.24 16:33:00,SELL,2332.88
948,2024.06.24 16:48:00,BUY,2329.50
961,2024.06.24 17:01:00,BUY,2328.44
994,2024.06.24 17:34:00,SELL,2331.52
998,2024.06.24 17:38:00,SELL,2331.95
1002,2024.06.24 17:42:00,SELL,2333.38
1032,2024.06.24 18:12:00,SELL,2332.82
1033,2024.06.24 18:13:00,SELL,2332.64
1048,2024.06.24 18:28:00,BUY,2330.14
1055,2024.06.24 18:35:00,BUY,2329.84
1069,2024.06.24 18:49:00,BUY,2327.99
1114,2024.06.24 19:34:00,SELL,2330.78
1115,2024.06.24 19:35:00,SELL,2330.46
1116,2024.06.24 19:36:00,SELL,2330.59
1138,2024.06.24 19:58:00,SELL,2331.85
1139,2024.06.24 19:59:00,SELL,2331.71
1175,2024.06.24 20:35:00,SELL,2332.50
1176,2024.06.24 20:36:00,SELL,2332.36
1177,2024.06.24 20:37:00,SELL,2332.20
1179,2024.06.24 20:39:00,SELL,2332.97
1180,2024.06.24 20:40:00,SELL,2332.77
1247,2024.06.24 21:47:00,SELL,2334.33
1261,2024.06.24 22:01:00,BUY,2332.73
1262,2024.06.24 22:02:00,BUY,2332.57
1263,2024.06.24 22:03:00,BUY,2332.03
1264,2024.06.24 22:04:00,BUY,2332.01
1265,2024.06.24 22:05:00,BUY,2332.02
1280,2024.06.24 22:20:00,BUY,2331.27
1298,2024.06.24 22:38:00,SELL,2332.76
1301,2024.06.24 22:41:00,SELL,2333.12
1316,2024.06.24 22:56:00,BUY,2331.44
1317,2024.06.24 22:57:00,BUY,2331.83
1351,2024.06.24 23:31:00,BUY,2332.84
1358,2024.06.24 23:38:00,SELL,2332.95
1364,2024.06.24 23:44:00,BUY,2332.50
1365,2024.06.24 23:45:00,BUY,2332.56
1372,2024.06.24 23:52:00,SELL,2333.66
1373,2024.06.24 23:53:00,SELL,2333.75
1374,2024.06.24 23:54:00,SELL,2333.67
1395,2024.06.25 01:16:00,BUY,2333.21
1396,2024.06.25 01:17:00,BUY,2333.03
1397,2024.06.25 01:18:00,BUY,2333.09
1398,2024.06.25 01:19:00,BUY,2332.97
1399,2024.06.25 01:20:00,BUY,2333.07
1420,2024.06.25 01:41:00,BUY,2332.42
1421,2024.06.25 01:42:00,BUY,2332.47
1436,2024.06.25 01:57:00,BUY,2332.00
1438,2024.06.25 01:59:00,BUY,2331.66
1439,2024.06.25 02:00:00,BUY,2331.61
1440,2024.06.25 02:01:00,BUY,2331.60
1444,2024.06.25 02:05:00,BUY,2331.21
1448,2024.06.25 02:09:00,BUY,2330.91
1451,2024.06.25 02:12:00,BUY,2330.39
1475,2024.06.25 02:36:00,SELL,2331.24
1491,2024.06.25 02:52:00,BUY,2330.53
1492,2024.06.25 02:53:00,BUY,2331.00
1501,2024.06.25 03:02:00,BUY,2330.38
1502,2024.06.25 03:03:00,BUY,2330.37
1506,2024.06.25 03:07:00,BUY,2329.95
1507,2024.06.25 03:08:00,BUY,2329.75
1508,2024.06.25 03:09:00,BUY,2329.91
1536,2024.06.25 03:37:00,BUY,2328.61
1569,2024.06.25 04:10:00,BUY,2328.64
1570,2024.06.25 04:11:00,BUY,2329.38
1580,2024.06.25 04:21:00,BUY,2328.03
1581,2024.06.25 04:22:00,BUY,2328.04
1587,2024.06.25 04:28:00,BUY,2326.65
1588,2024.06.25 04:29:00,BUY,2327.06
