idx,time,side,price
14,2024.06.24 01:14:00,SELL,2320.81
94,2024.06.24 02:34:00,SELL,2320.01
99,2024.06.24 02:39:00,SELL,2319.77
191,2024.06.24 04:11:00,SELL,2322.19
269,2024.06.24 05:29:00,BUY,2321.44
307,2024.06.24 06:07:00,BUY,2324.99
516,2024.06.24 09:36:00,SELL,2324.96
539,2024.06.24 09:59:00,BUY,2323.51
576,2024.06.24 10:36:00,SELL,2328.70
605,2024.06.24 11:05:00,BUY,2332.68
698,2024.06.24 12:38:00,SELL,2325.27
771,2024.06.24 13:51:00,SELL,2325.51
806,2024.06.24 14:26:00,SELL,2325.40
912,2024.06.24 16:12:00,BUY,2327.80
950,2024.06.24 16:50:00,BUY,2329.54
973,2024.06.24 17:13:00,SELL,2328.91
1108,2024.06.24 19:28:00,BUY,2329.33
1266,2024.06.24 22:06:00,BUY,2332.72
1299,2024.06.24 22:39:00,SELL,2332.92
1383,2024.06.25 01:04:00,BUY,2333.84
1386,2024.06.25 01:07:00,BUY,2334.03
1428,2024.06.25 01:49:00,BUY,2332.38
1614,2024.06.25 04:55:00,BUY,2324.72
1617,2024.06.25 04:58:00,BUY,2325.64
1651,2024.06.25 05:32:00,BUY,2326.78
1713,2024.06.25 06:34:00,BUY,2327.16
1754,2024.06.25 07:15:00,SELL,2325.85
1799,2024.06.25 08:00:00,SELL,2327.28
1846,2024.06.25 08:47:00,BUY,2325.63
1866,2024.06.25 09:07:00,SELL,2324.34
2004,2024.06.25 11:25:00,SELL,2326.08
2080,2024.06.25 12:41:00,BUY,2332.69
2296,2024.06.25 16:17:00,BUY,2326.13
2334,2024.06.25 16:55:00,SELL,2325.02
2359,2024.06.25 17:20:00,BUY,2324.77
2392,2024.06.25 17:53:00,BUY,2326.10
2442,2024.06.25 18:43:00,BUY,2320.74
2538,2024.06.25 20:19:00,SELL,2318.32
2592,2024.06.25 21:13:00,BUY,2317.98
2620,2024.06.25 21:41:00,BUY,2319.23
2666,2024.06.25 22:27:00,SELL,2319.83
2668,2024.06.25 22:29:00,BUY,2319.92
2672,2024.06.25 22:33:00,SELL,2319.42
2681,2024.06.25 22:42:00,SELL,2319.38
2713,2024.06.25 23:14:00,BUY,2318.41
2745,2024.06.25 23:46:00,SELL,2319.27
2771,2024.06.26 01:13:00,SELL,2319.87
2828,2024.06.26 02:10:00,BUY,2321.17
2843,2024.06.26 02:25:00,BUY,2319.30
2945,2024.06.26 04:07:00,BUY,2318.44
2981,2024.06.26 04:43:00,BUY,2314.39
3045,2024.06.26 05:47:00,BUY,2320.58
3048,2024.06.26 05:50:00,BUY,2320.42
3155,2024.06.26 07:37:00,BUY,2316.39
3170,2024.06.26 07:52:00,BUY,2316.97
3172,2024.06.26 07:54:00,SELL,2316.88
3182,2024.06.26 08:04:00,SELL,2317.23
3299,2024.06.26 10:01:00,SELL,2316.30
3303,2024.06.26 10:05:00,SELL,2315.31
3330,2024.06.26 10:32:00,SELL,2314.20
3481,2024.06.26 13:03:00,BUY,2315.64
3494,2024.06.26 13:16:00,BUY,2312.81
3536,2024.06.26 13:58:00,BUY,2308.42
3642,2024.06.26 15:44:00,SELL,2315.00
3653,2024.06.26 15:55:00,BUY,2312.17
3896,2024.06.26 19:58:00,SELL,2299.73
3927,2024.06.26 20:29:00,BUY,2301.97
3974,2024.06.26 21:16:00,BUY,2300.59
3997,2024.06.26 21:39:00,SELL,2300.38
4300,2024.06.27 03:43:00,BUY,2299.73
4359,2024.06.27 04:42:00,BUY,2298.01
4471,2024.06.27 06:34:00,SELL,2298.48
4535,2024.06.27 07:38:00,BUY,2299.48
4561,2024.06.27 08:04:00,BUY,2300.28
4595,2024.06.27 08:38:00,BUY,2300.25
4639,2024.06.27 09:22:00,BUY,2300.18
4707,2024.06.27 10:30:00,SELL,2301.25
4758,2024.06.27 11:21:00,SELL,2304.26
4783,2024.06.27 11:46:00,BUY,2306.98
