idx,time,side,price
122,2025.06.24 03:02:00,SELL,3337.46
124,2025.06.24 03:04:00,SELL,3335.87
303,2025.06.24 06:03:00,BUY,3353.22
304,2025.06.24 06:04:00,BUY,3352.92
308,2025.06.24 06:08:00,BUY,3353.97
309,2025.06.24 06:09:00,BUY,3353.41
317,2025.06.24 06:17:00,BUY,3353.10
333,2025.06.24 06:33:00,BUY,3355.35
334,2025.06.24 06:34:00,BUY,3356.04
335,2025.06.24 06:35:00,BUY,3357.47
336,2025.06.24 06:36:00,BUY,3357.16
426,2025.06.24 08:06:00,SELL,3346.04
431,2025.06.24 08:11:00,SELL,3343.23
434,2025.06.24 08:14:00,SELL,3341.81
438,2025.06.24 08:18:00,SELL,3340.35
446,2025.06.24 08:26:00,SELL,3339.39
449,2025.06.24 08:29:00,SELL,3338.41
451,2025.06.24 08:31:00,SELL,3338.51
455,2025.06.24 08:35:00,SELL,3337.00
457,2025.06.24 08:37:00,SELL,3335.22
458,2025.06.24 08:38:00,SELL,3334.16
460,2025.06.24 08:40:00,SELL,3335.53
463,2025.06.24 08:43:00,SELL,3333.70
467,2025.06.24 08:47:00,SELL,3331.09
468,2025.06.24 08:48:00,SELL,3332.63
473,2025.06.24 08:53:00,SELL,3327.74
474,2025.06.24 08:54:00,SELL,3328.48
494,2025.06.24 09:14:00,SELL,3324.74
495,2025.06.24 09:15:00,SELL,3325.58
507,2025.06.24 09:27:00,SELL,3322.48
508,2025.06.24 09:28:00,SELL,3322.70
515,2025.06.24 09:35:00,SELL,3317.56
516,2025.06.24 09:36:00,SELL,3316.68
596,2025.06.24 10:56:00,BUY,3330.09
597,2025.06.24 10:57:00,BUY,3329.73
678,2025.06.24 12:18:00,SELL,3322.74
684,2025.06.24 12:24:00,SELL,3320.65
691,2025.06.24 12:31:00,SELL,3320.95
714,2025.06.24 12:54:00,SELL,3318.81
829,2025.06.24 14:49:00,SELL,3319.66
830,2025.06.24 14:50:00,SELL,3318.51
831,2025.06.24 14:51:00,SELL,3318.36
832,2025.06.24 14:52:00,SELL,3319.07
853,2025.06.24 15:13:00,SELL,3312.66
854,2025.06.24 15:14:00,SELL,3313.45
871,2025.06.24 15:31:00,SELL,3309.34
872,2025.06.24 15:32:00,SELL,3309.14
876,2025.06.24 15:36:00,SELL,3306.12
937,2025.06.24 16:37:00,SELL,3301.13
938,2025.06.24 16:38:00,SELL,3300.83
939,2025.06.24 16:39:00,SELL,3300.54
940,2025.06.24 16:40:00,SELL,3297.06
941,2025.06.24 16:41:00,SELL,3297.86
1048,2025.06.24 18:28:00,BUY,3313.51
1049,2025.06.24 18:29:00,BUY,3312.19
1053,2025.06.24 18:33:00,BUY,3312.81
1058,2025.06.24 18:38:00,BUY,3316.48
1059,2025.06.24 18:39:00,BUY,3315.95
1062,2025.06.24 18:42:00,BUY,3316.57
1123,2025.06.24 19:43:00,BUY,3317.13
1134,2025.06.24 19:54:00,BUY,3319.28
1135,2025.06.24 19:55:00,BUY,3319.73
1136,2025.06.24 19:56:00,BUY,3319.61
1151,2025.06.24 20:11:00,BUY,3319.99
1291,2025.06.24 22:31:00,BUY,3320.22
1295,2025.06.24 22:35:00,BUY,3322.88
1296,2025.06.24 22:36:00,BUY,3322.51
1298,2025.06.24 22:38:00,BUY,3323.60
1397,2025.06.25 01:18:00,SELL,3321.76
1488,2025.06.25 02:49:00,BUY,3324.44
1500,2025.06.25 03:01:00,BUY,3325.11
1505,2025.06.25 03:06:00,BUY,3326.28
1506,2025.06.25 03:07:00,BUY,3325.08
1510,2025.06.25 03:11:00,BUY,3326.65
1521,2025.06.25 03:22:00,BUY,3328.36
1522,2025.06.25 03:23:00,BUY,3328.25
1530,2025.06.25 03:31:00,BUY,3329.13
1570,2025.06.25 04:11:00,BUY,3330.74
1571,2025.06.25 04:12:00,BUY,3331.07
1577,2025.06.25 04:18:00,BUY,3332.82
1578,2025.06.25 04:19:00,BUY,3332.44
1609,2025.06.25 04:50:00,BUY,3333.79
1610,2025.06.25 04:51:00,BUY,3334.25
1611,2025.06.25 04:52:00,BUY,3332.92
1615,2025.06.25 04:56:00,BUY,3334.57
1621,2025.06.25 05:02:00,BUY,3334.70
1735,2025.06.25 06:56:00,SELL,3327.90
1750,2025.06.25 07:11:00,SELL,3327.09
1829,2025.06.25 08:30:00,BUY,3330.39
1830,2025.06.25 08:31:00,BUY,3330.32
1832,2025.06.25 08:33:00,BUY,3331.12
1833,2025.06.25 08:34:00,BUY,3331.08
1835,2025.06.25 08:36:00,BUY,3331.91
1836,2025.06.25 08:37:00,BUY,3332.07
1842,2025.06.25 08:43:00,BUY,3332.61
1846,2025.06.25 08:47:00,BUY,3333.25
1848,2025.06.25 08:49:00,BUY,3333.04
1920,2025.06.25 10:01:00,BUY,3332.12
1934,2025.06.25 10:15:00,SELL,3327.45
1935,2025.06.25 10:16:00,SELL,3326.90
1936,2025.06.25 10:17:00,SELL,3327.43
1949,2025.06.25 10:30:00,BUY,3334.61
1950,2025.06.25 10:31:00,BUY,3332.72
1964,2025.06.25 10:45:00,BUY,3336.20
1965,2025.06.25 10:46:00,BUY,3335.72
2040,2025.06.25 12:01:00,SELL,3326.58
2045,2025.06.25 12:06:00,SELL,3324.19
2052,2025.06.25 12:13:00,SELL,3322.07
2207,2025.06.25 14:48:00,SELL,3322.77
2208,2025.06.25 14:49:00,SELL,3323.06
2218,2025.06.25 14:59:00,SELL,3322.52
2264,2025.06.25 15:45:00,SELL,3319.43
2283,2025.06.25 16:04:00,SELL,3317.45
2285,2025.06.25 16:06:00,SELL,3316.85
2288,2025.06.25 16:09:00,SELL,3316.45
2290,2025.06.25 16:11:00,SELL,3313.93
2291,2025.06.25 16:12:00,SELL,3315.77
2312,2025.06.25 16:33:00,SELL,3314.91
2314,2025.06.25 16:35:00,SELL,3313.26
2375,2025.06.25 17:36:00,BUY,3323.20
2390,2025.06.25 17:51:00,BUY,3325.93
2391,2025.06.25 17:52:00,BUY,3325.34
2457,2025.06.25 18:58:00,BUY,3325.90
2464,2025.06.25 19:05:00,BUY,3327.11
2472,2025.06.25 19:13:00,BUY,3327.70
2482,2025.06.25 19:23:00,BUY,3328.90
2483,2025.06.25 19:24:00,BUY,3327.61
2489,2025.06.25 19:30:00,BUY,3330.35
2490,2025.06.25 19:31:00,BUY,3330.50
2491,2025.06.25 19:32:00,BUY,3330.33
2496,2025.06.25 19:37:00,BUY,3331.24
2498,2025.06.25 19:39:00,BUY,3331.80
2500,2025.06.25 19:41:00,BUY,3332.20
2502,2025.06.25 19:43:00,BUY,3332.74
2507,2025.06.25 19:48:00,BUY,3334.21
2666,2025.06.25 22:27:00,BUY,3333.38
2669,2025.06.25 22:30:00,BUY,3334.52
2670,2025.06.25 22:31:00,BUY,3334.69
2671,2025.06.25 22:32:00,BUY,3334.99
2672,2025.06.25 22:33:00,BUY,3335.12
2674,2025.06.25 22:35:00,BUY,3335.49
2675,2025.06.25 22:36:00,BUY,3335.42
2681,2025.06.25 22:42:00,BUY,3335.84
2682,2025.06.25 22:43:00,BUY,3335.77
2825,2025.06.26 02:07:00,BUY,3336.00
2826,2025.06.26 02:08:00,BUY,3336.31
2828,2025.06.26 02:10:00,BUY,3336.92
2829,2025.06.26 02:11:00,BUY,3336.95
2830,2025.06.26 02:12:00,BUY,3337.15
2855,2025.06.26 02:37:00,BUY,3338.05
2870,2025.06.26 02:52:00,BUY,3339.17
2912,2025.06.26 03:34:00,SELL,3332.61
2913,2025.06.26 03:35:00,SELL,3332.91
2939,2025.06.26 04:01:00,SELL,3334.26
2964,2025.06.26 04:26:00,SELL,3331.73
2995,2025.06.26 04:57:00,SELL,3330.66
3031,2025.06.26 05:33:00,BUY,3337.21
3032,2025.06.26 05:34:00,BUY,3337.19
3034,2025.06.26 05:36:00,BUY,3337.94
3037,2025.06.26 05:39:00,BUY,3338.25
3039,2025.06.26 05:41:00,BUY,3339.38
3043,2025.06.26 05:45:00,BUY,3339.79
3052,2025.06.26 05:54:00,BUY,3340.98
3069,2025.06.26 06:11:00,BUY,3342.89
3131,2025.06.26 07:13:00,SELL,3336.22
3149,2025.06.26 07:31:00,SELL,3335.52
3153,2025.06.26 07:35:00,SELL,3334.56
3176,2025.06.26 07:58:00,SELL,3333.60
3177,2025.06.26 07:59:00,SELL,3333.94
3187,2025.06.26 08:09:00,SELL,3333.53
3244,2025.06.26 09:06:00,SELL,3333.03
3248,2025.06.26 09:10:00,SELL,3332.39
3290,2025.06.26 09:52:00,BUY,3338.62
3293,2025.06.26 09:55:00,BUY,3339.51
3294,2025.06.26 09:56:00,BUY,3340.07
3295,2025.06.26 09:57:00,BUY,3339.23
3300,2025.06.26 10:02:00,BUY,3341.38
3301,2025.06.26 10:03:00,BUY,3341.29
3307,2025.06.26 10:09:00,BUY,3342.51
3319,2025.06.26 10:21:00,BUY,3344.52
3323,2025.06.26 10:25:00,BUY,3344.64
3327,2025.06.26 10:29:00,BUY,3345.46
3334,2025.06.26 10:36:00,BUY,3346.62
3335,2025.06.26 10:37:00,BUY,3346.61
3407,2025.06.26 11:49:00,BUY,3347.77
3415,2025.06.26 11:57:00,BUY,3350.15
3416,2025.06.26 11:58:00,BUY,3348.78
3429,2025.06.26 12:11:00,SELL,3342.60
3430,2025.06.26 12:12:00,SELL,3341.25
3431,2025.06.26 12:13:00,SELL,3342.59
3438,2025.06.26 12:20:00,SELL,3340.60
3442,2025.06.26 12:24:00,SELL,3339.43
3452,2025.06.26 12:34:00,SELL,3339.28
3537,2025.06.26 13:59:00,BUY,3343.25
3538,2025.06.26 14:00:00,BUY,3343.14
3540,2025.06.26 14:02:00,BUY,3343.69
3573,2025.06.26 14:35:00,SELL,3335.76
3574,2025.06.26 14:36:00,SELL,3334.46
3575,2025.06.26 14:37:00,SELL,3336.22
3579,2025.06.26 14:41:00,SELL,3334.08
3581,2025.06.26 14:43:00,SELL,3333.35
3635,2025.06.26 15:37:00,SELL,3332.82
3647,2025.06.26 15:49:00,SELL,3331.39
3652,2025.06.26 15:54:00,SELL,3326.84
3655,2025.06.26 15:57:00,SELL,3325.71
3657,2025.06.26 15:59:00,SELL,3321.98
3658,2025.06.26 16:00:00,SELL,3320.69
3659,2025.06.26 16:01:00,SELL,3323.08
3661,2025.06.26 16:03:00,SELL,3319.97
3662,2025.06.26 16:04:00,SELL,3322.57
3668,2025.06.26 16:10:00,SELL,3317.00
3669,2025.06.26 16:11:00,SELL,3317.76
3692,2025.06.26 16:34:00,SELL,3313.78
3693,2025.06.26 16:35:00,SELL,3311.11
3694,2025.06.26 16:36:00,SELL,3312.28
3830,2025.06.26 18:52:00,BUY,3324.71
3849,2025.06.26 19:11:00,BUY,3325.33
3851,2025.06.26 19:13:00,BUY,3326.31
3852,2025.06.26 19:14:00,BUY,3325.75
3858,2025.06.26 19:20:00,BUY,3328.01
3859,2025.06.26 19:21:00,BUY,3329.25
3860,2025.06.26 19:22:00,BUY,3329.45
3861,2025.06.26 19:23:00,BUY,3329.06
3863,2025.06.26 19:25:00,BUY,3330.34
3864,2025.06.26 19:26:00,BUY,3330.42
3872,2025.06.26 19:34:00,BUY,3331.01
3878,2025.06.26 19:40:00,BUY,3332.19
3888,2025.06.26 19:50:00,BUY,3332.83
3920,2025.06.26 20:22:00,BUY,3334.52
3921,2025.06.26 20:23:00,BUY,3335.19
3922,2025.06.26 20:24:00,BUY,3334.60
3948,2025.06.26 20:50:00,BUY,3335.67
4030,2025.06.26 22:12:00,SELL,3330.52
4033,2025.06.26 22:15:00,SELL,3329.79
4034,2025.06.26 22:16:00,SELL,3329.88
4036,2025.06.26 22:18:00,SELL,3328.93
4038,2025.06.26 22:20:00,SELL,3329.60
4135,2025.06.26 23:57:00,SELL,3328.24
4137,2025.06.27 01:00:00,SELL,3327.16
4138,2025.06.27 01:01:00,SELL,3325.28
4139,2025.06.27 01:02:00,SELL,3324.17
4140,2025.06.27 01:03:00,SELL,3324.36
4143,2025.06.27 01:06:00,SELL,3322.96
4154,2025.06.27 01:17:00,SELL,3321.36
4178,2025.06.27 01:41:00,SELL,3320.76
4181,2025.06.27 01:44:00,SELL,3319.88
4184,2025.06.27 01:47:00,SELL,3319.60
4232,2025.06.27 02:35:00,SELL,3318.89
4251,2025.06.27 02:54:00,SELL,3317.85
4255,2025.06.27 02:58:00,SELL,3317.25
4261,2025.06.27 03:04:00,SELL,3316.53
4278,2025.06.27 03:21:00,SELL,3314.84
4279,2025.06.27 03:22:00,SELL,3315.26
4281,2025.06.27 03:24:00,SELL,3314.25
4295,2025.06.27 03:38:00,SELL,3314.13
4346,2025.06.27 04:29:00,BUY,3321.17
4347,2025.06.27 04:30:00,BUY,3321.87
4348,2025.06.27 04:31:00,BUY,3321.01
4408,2025.06.27 05:31:00,SELL,3313.68
4414,2025.06.27 05:37:00,SELL,3311.46
4415,2025.06.27 05:38:00,SELL,3311.72
4423,2025.06.27 05:46:00,SELL,3310.97
4426,2025.06.27 05:49:00,SELL,3311.11
4437,2025.06.27 06:00:00,SELL,3308.80
