idx,time,side,price
34,2024.06.24 01:34:00,SELL,2321.75
48,2024.06.24 01:48:00,SELL,2322.10
49,2024.06.24 01:49:00,SELL,2322.07
61,2024.06.24 02:01:00,BUY,2321.14
63,2024.06.24 02:03:00,BUY,2320.89
64,2024.06.24 02:04:00,BUY,2321.23
73,2024.06.24 02:13:00,BUY,2320.52
77,2024.06.24 02:17:00,BUY,2320.56
79,2024.06.24 02:19:00,BUY,2319.90
80,2024.06.24 02:20:00,BUY,2319.96
97,2024.06.24 02:37:00,BUY,2319.64
99,2024.06.24 02:39:00,BUY,2319.77
104,2024.06.24 02:44:00,BUY,2319.40
106,2024.06.24 02:46:00,BUY,2318.74
107,2024.06.24 02:47:00,BUY,2317.85
108,2024.06.24 02:48:00,BUY,2318.26
121,2024.06.24 03:01:00,SELL,2319.92
123,2024.06.24 03:03:00,SELL,2320.16
125,2024.06.24 03:05:00,SELL,2320.41
148,2024.06.24 03:28:00,BUY,2318.28
156,2024.06.24 03:36:00,SELL,2319.28
160,2024.06.24 03:40:00,SELL,2320.95
161,2024.06.24 03:41:00,SELL,2320.87
181,2024.06.24 04:01:00,BUY,2319.69
185,2024.06.24 04:05:00,SELL,2322.02
187,2024.06.24 04:07:00,SELL,2323.09
188,2024.06.24 04:08:00,SELL,2323.31
189,2024.06.24 04:09:00,SELL,2323.34
206,2024.06.24 04:26:00,SELL,2324.05
207,2024.06.24 04:27:00,SELL,2323.52
209,2024.06.24 04:29:00,SELL,2324.45
213,2024.06.24 04:33:00,SELL,2324.98
227,2024.06.24 04:47:00,SELL,2325.02
237,2024.06.24 04:57:00,BUY,2323.33
238,2024.06.24 04:58:00,BUY,2323.18
247,2024.06.24 05:07:00,BUY,2322.42
251,2024.06.24 05:11:00,BUY,2321.38
253,2024.06.24 05:13:00,BUY,2320.20
271,2024.06.24 05:31:00,SELL,2322.17
279,2024.06.24 05:39:00,SELL,2323.29
280,2024.06.24 05:40:00,SELL,2323.38
282,2024.06.24 05:42:00,SELL,2325.05
283,2024.06.24 05:43:00,SELL,2324.60
301,2024.06.24 06:01:00,SELL,2325.19
303,2024.06.24 06:03:00,SELL,2325.49
314,2024.06.24 06:14:00,SELL,2325.34
318,2024.06.24 06:18:00,SELL,2326.08
347,2024.06.24 06:47:00,BUY,2325.38
373,2024.06.24 07:13:00,SELL,2326.41
374,2024.06.24 07:14:00,SELL,2326.51
375,2024.06.24 07:15:00,SELL,2325.92
392,2024.06.24 07:32:00,BUY,2325.08
393,2024.06.24 07:33:00,BUY,2325.09
406,2024.06.24 07:46:00,BUY,2324.46
407,2024.06.24 07:47:00,BUY,2324.48
424,2024.06.24 08:04:00,SELL,2325.35
426,2024.06.24 08:06:00,SELL,2325.44
433,2024.06.24 08:13:00,SELL,2325.90
434,2024.06.24 08:14:00,SELL,2325.95
443,2024.06.24 08:23:00,SELL,2325.89
451,2024.06.24 08:31:00,SELL,2326.88
456,2024.06.24 08:36:00,BUY,2325.40
458,2024.06.24 08:38:00,BUY,2324.45
459,2024.06.24 08:39:00,BUY,2323.88
460,2024.06.24 08:40:00,BUY,2323.74
461,2024.06.24 08:41:00,BUY,2323.88
477,2024.06.24 08:57:00,SELL,2324.94
485,2024.06.24 09:05:00,BUY,2323.10
507,2024.06.24 09:27:00,SELL,2323.24
512,2024.06.24 09:32:00,SELL,2324.70
513,2024.06.24 09:33:00,SELL,2324.81
527,2024.06.24 09:47:00,BUY,2322.82
528,2024.06.24 09:48:00,BUY,2322.72
531,2024.06.24 09:51:00,BUY,2322.71
546,2024.06.24 10:06:00,BUY,2322.29
550,2024.06.24 10:10:00,SELL,2323.98
551,2024.06.24 10:11:00,SELL,2323.98
554,2024.06.24 10:14:00,SELL,2325.18
555,2024.06.24 10:15:00,SELL,2324.67
560,2024.06.24 10:20:00,SELL,2325.10
563,2024.06.24 10:23:00,SELL,2325.70
564,2024.06.24 10:24:00,SELL,2326.14
565,2024.06.24 10:25:00,SELL,2325.87
568,2024.06.24 10:28:00,SELL,2327.51
569,2024.06.24 10:29:00,SELL,2327.47
573,2024.06.24 10:33:00,SELL,2329.10
574,2024.06.24 10:34:00,SELL,2329.13
581,2024.06.24 10:41:00,SELL,2330.50
582,2024.06.24 10:42:00,SELL,2330.80
583,2024.06.24 10:43:00,SELL,2331.27
584,2024.06.24 10:44:00,SELL,2331.57
585,2024.06.24 10:45:00,SELL,2331.23
602,2024.06.24 11:02:00,SELL,2331.43
606,2024.06.24 11:06:00,SELL,2331.57
611,2024.06.24 11:11:00,BUY,2329.69
612,2024.06.24 11:12:00,BUY,2329.70
649,2024.06.24 11:49:00,BUY,2329.62
662,2024.06.24 12:02:00,BUY,2329.38
664,2024.06.24 12:04:00,BUY,2329.55
666,2024.06.24 12:06:00,BUY,2328.13
667,2024.06.24 12:07:00,BUY,2327.06
668,2024.06.24 12:08:00,BUY,2326.77
669,2024.06.24 12:09:00,BUY,2326.08
670,2024.06.24 12:10:00,BUY,2327.76
684,2024.06.24 12:24:00,SELL,2330.00
692,2024.06.24 12:32:00,BUY,2324.36
693,2024.06.24 12:33:00,BUY,2323.22
694,2024.06.24 12:34:00,BUY,2324.87
749,2024.06.24 13:29:00,BUY,2324.58
