idx,time,side,price
2,2024.06.24 01:02:00,BUY,2319.01
62,2024.06.24 02:02:00,SELL,2321.03
123,2024.06.24 03:03:00,BUY,2320.16
135,2024.06.24 03:15:00,SELL,2319.22
141,2024.06.24 03:21:00,BUY,2319.44
146,2024.06.24 03:26:00,SELL,2318.77
156,2024.06.24 03:36:00,BUY,2319.28
183,2024.06.24 04:03:00,SELL,2321.54
184,2024.06.24 04:04:00,BUY,2321.72
239,2024.06.24 04:59:00,SELL,2323.64
275,2024.06.24 05:35:00,BUY,2322.61
349,2024.06.24 06:49:00,SELL,2325.21
362,2024.06.24 07:02:00,BUY,2325.08
363,2024.06.24 07:03:00,SELL,2325.39
370,2024.06.24 07:10:00,BUY,2325.66
393,2024.06.24 07:33:00,SELL,2325.09
426,2024.06.24 08:06:00,BUY,2325.44
458,2024.06.24 08:38:00,SELL,2324.45
477,2024.06.24 08:57:00,BUY,2324.94
481,2024.06.24 09:01:00,SELL,2324.44
512,2024.06.24 09:32:00,BUY,2324.70
527,2024.06.24 09:47:00,SELL,2322.82
552,2024.06.24 10:12:00,BUY,2324.16
621,2024.06.24 11:21:00,SELL,2329.64
634,2024.06.24 11:34:00,BUY,2330.25
636,2024.06.24 11:36:00,SELL,2330.10
653,2024.06.24 11:53:00,BUY,2331.34
663,2024.06.24 12:03:00,SELL,2328.89
684,2024.06.24 12:24:00,BUY,2330.00
689,2024.06.24 12:29:00,SELL,2327.49
730,2024.06.24 13:10:00,BUY,2325.41
731,2024.06.24 13:11:00,SELL,2325.89
733,2024.06.24 13:13:00,BUY,2326.05
744,2024.06.24 13:24:00,SELL,2325.61
758,2024.06.24 13:38:00,BUY,2326.18
772,2024.06.24 13:52:00,SELL,2325.19
792,2024.06.24 14:12:00,BUY,2325.60
795,2024.06.24 14:15:00,SELL,2325.23
811,2024.06.24 14:31:00,BUY,2326.10
841,2024.06.24 15:01:00,SELL,2324.76
875,2024.06.24 15:35:00,BUY,2326.49
883,2024.06.24 15:43:00,SELL,2324.54
888,2024.06.24 15:48:00,BUY,2326.34
923,2024.06.24 16:23:00,SELL,2327.20
924,2024.06.24 16:24:00,BUY,2327.48
957,2024.06.24 16:57:00,SELL,2328.34
971,2024.06.24 17:11:00,BUY,2330.73
974,2024.06.24 17:14:00,SELL,2329.55
984,2024.06.24 17:24:00,BUY,2330.52
1016,2024.06.24 17:56:00,SELL,2331.48
1030,2024.06.24 18:10:00,BUY,2331.30
1043,2024.06.24 18:23:00,SELL,2331.29
1092,2024.06.24 19:12:00,BUY,2329.18
1193,2024.06.24 20:53:00,SELL,2331.52
1199,2024.06.24 20:59:00,BUY,2332.00
1261,2024.06.24 22:01:00,SELL,2332.73
1300,2024.06.24 22:40:00,BUY,2333.17
1315,2024.06.24 22:55:00,SELL,2331.65
1325,2024.06.24 23:05:00,BUY,2333.41
1364,2024.06.24 23:44:00,SELL,2332.50
1370,2024.06.24 23:50:00,BUY,2333.28
1397,2024.06.25 01:18:00,SELL,2333.09
1549,2024.06.25 03:50:00,BUY,2329.79
1570,2024.06.25 04:11:00,SELL,2329.38
1624,2024.06.25 05:05:00,BUY,2326.21
1632,2024.06.25 05:13:00,SELL,2324.75
1646,2024.06.25 05:27:00,BUY,2326.22
1673,2024.06.25 05:54:00,SELL,2325.34
1678,2024.06.25 05:59:00,BUY,2326.48
1717,2024.06.25 06:38:00,SELL,2327.67
1718,2024.06.25 06:39:00,BUY,2327.57
1720,2024.06.25 06:41:00,SELL,2327.09
1754,2024.06.25 07:15:00,BUY,2325.85
1839,2024.06.25 08:40:00,SELL,2326.27
1887,2024.06.25 09:28:00,BUY,2325.32
1891,2024.06.25 09:32:00,SELL,2324.55
1895,2024.06.25 09:36:00,BUY,2325.56
1948,2024.06.25 10:29:00,SELL,2326.72
1991,2024.06.25 11:12:00,BUY,2326.23
2139,2024.06.25 13:40:00,SELL,2334.35
2145,2024.06.25 13:46:00,BUY,2336.38
2154,2024.06.25 13:55:00,SELL,2335.28
2155,2024.06.25 13:56:00,BUY,2335.20
2156,2024.06.25 13:57:00,SELL,2335.17
2158,2024.06.25 13:59:00,BUY,2335.29
2160,2024.06.25 14:01:00,SELL,2334.28
2298,2024.06.25 16:19:00,BUY,2326.18
2307,2024.06.25 16:28:00,SELL,2323.15
2331,2024.06.25 16:52:00,BUY,2325.01
2345,2024.06.25 17:06:00,SELL,2324.02
2360,2024.06.25 17:21:00,BUY,2326.12
2413,2024.06.25 18:14:00,SELL,2323.72
2448,2024.06.25 18:49:00,BUY,2322.86
2477,2024.06.25 19:18:00,SELL,2321.98
2539,2024.06.25 20:20:00,BUY,2318.42
2541,2024.06.25 20:22:00,SELL,2318.09
2544,2024.06.25 20:25:00,BUY,2318.26
2577,2024.06.25 20:58:00,SELL,2319.08
2580,2024.06.25 21:01:00,BUY,2319.06
2582,2024.06.25 21:03:00,SELL,2318.23
2609,2024.06.25 21:30:00,BUY,2319.58
2628,2024.06.25 21:49:00,SELL,2318.40
2639,2024.06.25 22:00:00,BUY,2318.94
2680,2024.06.25 22:41:00,SELL,2319.12
2692,2024.06.25 22:53:00,BUY,2319.54
2702,2024.06.25 23:03:00,SELL,2319.04
2738,2024.06.25 23:39:00,BUY,2319.31
2800,2024.06.26 01:42:00,SELL,2319.65
2817,2024.06.26 01:59:00,BUY,2320.62
2836,2024.06.26 02:18:00,SELL,2319.62
2865,2024.06.26 02:47:00,BUY,2319.85
2882,2024.06.26 03:04:00,SELL,2319.22
2893,2024.06.26 03:15:00,BUY,2320.91
2912,2024.06.26 03:34:00,SELL,2319.59
2952,2024.06.26 04:14:00,BUY,2320.25
2972,2024.06.26 04:34:00,SELL,2318.45
3010,2024.06.26 05:12:00,BUY,2314.59
3057,2024.06.26 05:59:00,SELL,2319.42
3075,2024.06.26 06:17:00,BUY,2320.30
3098,2024.06.26 06:40:00,SELL,2318.86
3171,2024.06.26 07:53:00,BUY,2316.68
3202,2024.06.26 08:24:00,SELL,2316.44
3211,2024.06.26 08:33:00,BUY,2317.57
3214,2024.06.26 08:36:00,SELL,2315.54
3269,2024.06.26 09:31:00,BUY,2313.70
3312,2024.06.26 10:14:00,SELL,2314.17
3325,2024.06.26 10:27:00,BUY,2314.72
3326,2024.06.26 10:28:00,SELL,2314.66
3333,2024.06.26 10:35:00,BUY,2315.44
3335,2024.06.26 10:37:00,SELL,2315.32
3336,2024.06.26 10:38:00,BUY,2314.98
3338,2024.06.26 10:40:00,SELL,2314.66
3356,2024.06.26 10:58:00,BUY,2314.82
3365,2024.06.26 11:07:00,SELL,2313.67
3382,2024.06.26 11:24:00,BUY,2315.50
3427,2024.06.26 12:09:00,SELL,2316.22
3429,2024.06.26 12:11:00,BUY,2316.74
3450,2024.06.26 12:32:00,SELL,2316.94
3451,2024.06.26 12:33:00,BUY,2317.26
3457,2024.06.26 12:39:00,SELL,2316.43
3461,2024.06.26 12:43:00,BUY,2318.14
3468,2024.06.26 12:50:00,SELL,2316.67
3470,2024.06.26 12:52:00,BUY,2317.15
3478,2024.06.26 13:00:00,SELL,2315.58
3578,2024.06.26 14:40:00,BUY,2308.74
3644,2024.06.26 15:46:00,SELL,2314.29
3722,2024.06.26 17:04:00,BUY,2300.82
3738,2024.06.26 17:20:00,SELL,2297.89
3766,2024.06.26 17:48:00,BUY,2299.24
3780,2024.06.26 18:02:00,SELL,2296.73
3785,2024.06.26 18:07:00,BUY,2299.14
3815,2024.06.26 18:37:00,SELL,2299.24
3842,2024.06.26 19:04:00,BUY,2300.28
3871,2024.06.26 19:33:00,SELL,2300.54
3902,2024.06.26 20:04:00,BUY,2300.51
3953,2024.06.26 20:55:00,SELL,2301.54
3957,2024.06.26 20:59:00,BUY,2301.87
3959,2024.06.26 21:01:00,SELL,2301.48
4056,2024.06.26 22:38:00,BUY,2298.05
4058,2024.06.26 22:40:00,SELL,2298.23
4059,2024.06.26 22:41:00,BUY,2298.51
4065,2024.06.26 22:47:00,SELL,2297.68
4073,2024.06.26 22:55:00,BUY,2299.26
4090,2024.06.26 23:12:00,SELL,2298.26
4121,2024.06.26 23:43:00,BUY,2297.99
4124,2024.06.26 23:46:00,SELL,2298.13
4125,2024.06.26 23:47:00,BUY,2297.66
4126,2024.06.26 23:48:00,SELL,2297.68
4130,2024.06.26 23:52:00,BUY,2297.81
4131,2024.06.26 23:53:00,SELL,2297.99
4132,2024.06.26 23:54:00,BUY,2297.80
4133,2024.06.26 23:55:00,SELL,2297.89
4135,2024.06.26 23:57:00,BUY,2298.04
4175,2024.06.27 01:38:00,SELL,2298.15
4189,2024.06.27 01:52:00,BUY,2298.42
4197,2024.06.27 02:00:00,SELL,2298.10
4205,2024.06.27 02:08:00,BUY,2298.46
4208,2024.06.27 02:11:00,SELL,2298.04
4250,2024.06.27 02:53:00,BUY,2298.04
4307,2024.06.27 03:50:00,SELL,2297.91
4329,2024.06.27 04:12:00,BUY,2299.37
4334,2024.06.27 04:17:00,SELL,2298.22
4341,2024.06.27 04:24:00,BUY,2298.95
4343,2024.06.27 04:26:00,SELL,2298.97
4346,2024.06.27 04:29:00,BUY,2299.30
4353,2024.06.27 04:36:00,SELL,2298.52
4382,2024.06.27 05:05:00,BUY,2299.03
4413,2024.06.27 05:36:00,SELL,2298.78
4414,2024.06.27 05:37:00,BUY,2298.35
4415,2024.06.27 05:38:00,SELL,2298.37
4424,2024.06.27 05:47:00,BUY,2299.66
4459,2024.06.27 06:22:00,SELL,2298.62
4490,2024.06.27 06:53:00,BUY,2298.73
4531,2024.06.27 07:34:00,SELL,2299.68
