idx,time,side,price
70,2024.06.24 02:10:00,BUY,2320.84
123,2024.06.24 03:03:00,BUY,2320.16
125,2024.06.24 03:05:00,BUY,2320.41
134,2024.06.24 03:14:00,SELL,2319.00
146,2024.06.24 03:26:00,SELL,2318.77
184,2024.06.24 04:04:00,BUY,2321.72
187,2024.06.24 04:07:00,BUY,2323.09
200,2024.06.24 04:20:00,BUY,2323.15
205,2024.06.24 04:25:00,BUY,2323.80
213,2024.06.24 04:33:00,BUY,2324.98
237,2024.06.24 04:57:00,SELL,2323.33
279,2024.06.24 05:39:00,BUY,2323.29
286,2024.06.24 05:46:00,SELL,2324.36
288,2024.06.24 05:48:00,SELL,2324.29
303,2024.06.24 06:03:00,BUY,2325.49
311,2024.06.24 06:11:00,BUY,2325.50
330,2024.06.24 06:30:00,SELL,2326.07
346,2024.06.24 06:46:00,SELL,2325.05
354,2024.06.24 06:54:00,BUY,2325.32
369,2024.06.24 07:09:00,BUY,2325.52
406,2024.06.24 07:46:00,SELL,2324.46
433,2024.06.24 08:13:00,BUY,2325.90
449,2024.06.24 08:29:00,SELL,2325.69
456,2024.06.24 08:36:00,SELL,2325.40
475,2024.06.24 08:55:00,BUY,2325.43
511,2024.06.24 09:31:00,BUY,2324.55
531,2024.06.24 09:51:00,SELL,2322.71
544,2024.06.24 10:04:00,SELL,2322.18
591,2024.06.24 10:51:00,BUY,2331.14
617,2024.06.24 11:17:00,BUY,2331.02
633,2024.06.24 11:33:00,BUY,2330.64
656,2024.06.24 11:56:00,SELL,2330.57
660,2024.06.24 12:00:00,SELL,2330.89
664,2024.06.24 12:04:00,SELL,2329.55
699,2024.06.24 12:39:00,BUY,2325.98
707,2024.06.24 12:47:00,SELL,2326.22
759,2024.06.24 13:39:00,BUY,2326.17
764,2024.06.24 13:44:00,SELL,2325.62
798,2024.06.24 14:18:00,SELL,2325.05
828,2024.06.24 14:48:00,BUY,2327.14
841,2024.06.24 15:01:00,SELL,2324.76
844,2024.06.24 15:04:00,BUY,2326.35
892,2024.06.24 15:52:00,BUY,2326.58
897,2024.06.24 15:57:00,SELL,2326.50
1008,2024.06.24 17:48:00,SELL,2332.65
1054,2024.06.24 18:34:00,SELL,2329.16
1091,2024.06.24 19:11:00,BUY,2329.16
1102,2024.06.24 19:22:00,BUY,2329.05
1110,2024.06.24 19:30:00,SELL,2329.05
1138,2024.06.24 19:58:00,BUY,2331.85
1141,2024.06.24 20:01:00,SELL,2332.01
1145,2024.06.24 20:05:00,SELL,2331.36
1163,2024.06.24 20:23:00,SELL,2331.29
1168,2024.06.24 20:28:00,BUY,2331.70
1213,2024.06.24 21:13:00,SELL,2332.84
1232,2024.06.24 21:32:00,BUY,2333.87
1275,2024.06.24 22:15:00,SELL,2331.88
1286,2024.06.24 22:26:00,SELL,2332.14
1312,2024.06.24 22:52:00,SELL,2332.25
