idx,time,side,price
218,2023.06.26 04:38:00,BUY,1928.23
225,2023.06.26 04:45:00,BUY,1928.04
252,2023.06.26 05:12:00,SELL,1925.74
253,2023.06.26 05:13:00,BUY,1926.02
256,2023.06.26 05:16:00,SELL,1925.51
265,2023.06.26 05:25:00,SELL,1925.78
272,2023.06.26 05:32:00,SELL,1926.07
273,2023.06.26 05:33:00,BUY,1925.90
274,2023.06.26 05:34:00,BUY,1925.59
275,2023.06.26 05:35:00,SELL,1925.75
284,2023.06.26 05:44:00,SELL,1925.42
291,2023.06.26 05:51:00,SELL,1925.19
292,2023.06.26 05:52:00,SELL,1925.38
294,2023.06.26 05:54:00,SELL,1925.42
296,2023.06.26 05:56:00,SELL,1924.68
306,2023.06.26 06:06:00,SELL,1924.81
307,2023.06.26 06:07:00,SELL,1924.94
308,2023.06.26 06:08:00,SELL,1925.16
333,2023.06.26 06:33:00,SELL,1926.35
334,2023.06.26 06:34:00,BUY,1926.36
342,2023.06.26 06:42:00,SELL,1925.52
361,2023.06.26 07:01:00,SELL,1925.07
364,2023.06.26 07:04:00,SELL,1925.11
378,2023.06.26 07:18:00,SELL,1924.98
379,2023.06.26 07:19:00,SELL,1924.91
393,2023.06.26 07:33:00,SELL,1925.02
395,2023.06.26 07:35:00,SELL,1924.95
397,2023.06.26 07:37:00,SELL,1924.90
414,2023.06.26 07:54:00,SELL,1925.08
415,2023.06.26 07:55:00,SELL,1925.30
416,2023.06.26 07:56:00,SELL,1925.06
439,2023.06.26 08:19:00,SELL,1924.46
445,2023.06.26 08:25:00,SELL,1924.71
448,2023.06.26 08:28:00,SELL,1924.34
471,2023.06.26 08:51:00,BUY,1926.42
473,2023.06.26 08:53:00,BUY,1926.78
479,2023.06.26 08:59:00,BUY,1926.69
481,2023.06.26 09:01:00,BUY,1927.02
486,2023.06.26 09:06:00,BUY,1926.17
525,2023.06.26 09:45:00,SELL,1923.18
526,2023.06.26 09:46:00,SELL,1923.16
530,2023.06.26 09:50:00,SELL,1922.21
534,2023.06.26 09:54:00,SELL,1922.70
536,2023.06.26 09:56:00,SELL,1922.90
537,2023.06.26 09:57:00,SELL,1922.98
538,2023.06.26 09:58:00,SELL,1923.10
540,2023.06.26 10:00:00,SELL,1922.46
541,2023.06.26 10:01:00,SELL,1922.67
542,2023.06.26 10:02:00,SELL,1922.81
586,2023.06.26 10:46:00,BUY,1928.26
589,2023.06.26 10:49:00,BUY,1928.84
592,2023.06.26 10:52:00,BUY,1928.54
597,2023.06.26 10:57:00,BUY,1928.48
599,2023.06.26 10:59:00,BUY,1928.92
612,2023.06.26 11:12:00,BUY,1929.40
613,2023.06.26 11:13:00,BUY,1929.22
615,2023.06.26 11:15:00,BUY,1930.11
619,2023.06.26 11:19:00,BUY,1929.58
621,2023.06.26 11:21:00,BUY,1930.58
637,2023.06.26 11:37:00,BUY,1932.22
645,2023.06.26 11:45:00,BUY,1931.97
646,2023.06.26 11:46:00,BUY,1932.17
647,2023.06.26 11:47:00,BUY,1932.53
675,2023.06.26 12:15:00,BUY,1932.01
681,2023.06.26 12:21:00,BUY,1932.09
710,2023.06.26 12:50:00,BUY,1929.87
712,2023.06.26 12:52:00,BUY,1929.65
715,2023.06.26 12:55:00,BUY,1929.72
718,2023.06.26 12:58:00,BUY,1930.03
719,2023.06.26 12:59:00,BUY,1929.82
725,2023.06.26 13:05:00,BUY,1930.14
726,2023.06.26 13:06:00,BUY,1930.74
747,2023.06.26 13:27:00,BUY,1931.67
794,2023.06.26 14:14:00,BUY,1932.31
801,2023.06.26 14:21:00,BUY,1931.72
816,2023.06.26 14:36:00,BUY,1932.35
819,2023.06.26 14:39:00,BUY,1932.21
822,2023.06.26 14:42:00,BUY,1931.78
824,2023.06.26 14:44:00,BUY,1932.06
827,2023.06.26 14:47:00,BUY,1932.00
828,2023.06.26 14:48:00,BUY,1932.07
829,2023.06.26 14:49:00,BUY,1932.07
830,2023.06.26 14:50:00,BUY,1931.84
837,2023.06.26 14:57:00,BUY,1932.32
845,2023.06.26 15:05:00,BUY,1931.98
851,2023.06.26 15:11:00,BUY,1931.75
852,2023.06.26 15:12:00,BUY,1931.91
853,2023.06.26 15:13:00,BUY,1932.06
855,2023.06.26 15:15:00,BUY,1932.27
863,2023.06.26 15:23:00,BUY,1930.69
864,2023.06.26 15:24:00,SELL,1930.81
871,2023.06.26 15:31:00,BUY,1931.84
872,2023.06.26 15:32:00,BUY,1931.74
891,2023.06.26 15:51:00,BUY,1932.87
894,2023.06.26 15:54:00,BUY,1932.70
895,2023.06.26 15:55:00,BUY,1932.51
956,2023.06.26 16:56:00,SELL,1923.87
957,2023.06.26 16:57:00,SELL,1924.40
961,2023.06.26 17:01:00,SELL,1924.55
963,2023.06.26 17:03:00,SELL,1924.23
966,2023.06.26 17:06:00,SELL,1923.37
967,2023.06.26 17:07:00,SELL,1924.34
975,2023.06.26 17:15:00,SELL,1922.94
980,2023.06.26 17:20:00,SELL,1923.55
986,2023.06.26 17:26:00,SELL,1923.85
987,2023.06.26 17:27:00,SELL,1923.96
990,2023.06.26 17:30:00,SELL,1923.82
991,2023.06.26 17:31:00,SELL,1923.98
993,2023.06.26 17:33:00,SELL,1923.55
994,2023.06.26 17:34:00,SELL,1923.97
1005,2023.06.26 17:45:00,SELL,1923.79
1021,2023.06.26 18:01:00,SELL,1923.34
1022,2023.06.26 18:02:00,SELL,1923.65
1054,2023.06.26 18:34:00,SELL,1926.97
1055,2023.06.26 18:35:00,SELL,1927.07
1056,2023.06.26 18:36:00,SELL,1927.40
1057,2023.06.26 18:37:00,BUY,1927.30
1062,2023.06.26 18:42:00,BUY,1927.57
1064,2023.06.26 18:44:00,BUY,1927.60
1065,2023.06.26 18:45:00,BUY,1927.74
1074,2023.06.26 18:54:00,SELL,1926.36
1091,2023.06.26 19:11:00,BUY,1925.71
1092,2023.06.26 19:12:00,SELL,1925.35
1095,2023.06.26 19:15:00,SELL,1925.84
1099,2023.06.26 19:19:00,SELL,1926.29
1100,2023.06.26 19:20:00,BUY,1926.02
1102,2023.06.26 19:22:00,SELL,1925.10
1124,2023.06.26 19:44:00,SELL,1924.61
1125,2023.06.26 19:45:00,SELL,1925.00
1128,2023.06.26 19:48:00,SELL,1923.80
1153,2023.06.26 20:13:00,SELL,1923.85
1160,2023.06.26 20:20:00,SELL,1923.34
1170,2023.06.26 20:30:00,SELL,1923.50
1181,2023.06.26 20:41:00,SELL,1923.82
1199,2023.06.26 20:59:00,SELL,1924.54
1200,2023.06.26 21:00:00,SELL,1924.40
1201,2023.06.26 21:01:00,SELL,1924.53
1206,2023.06.26 21:06:00,SELL,1924.76
1207,2023.06.26 21:07:00,SELL,1924.61
1211,2023.06.26 21:11:00,SELL,1924.03
1218,2023.06.26 21:18:00,SELL,1924.31
1219,2023.06.26 21:19:00,SELL,1924.19
1226,2023.06.26 21:26:00,SELL,1923.92
1227,2023.06.26 21:27:00,SELL,1923.77
1231,2023.06.26 21:31:00,SELL,1923.84
1251,2023.06.26 21:51:00,SELL,1923.43
1274,2023.06.26 22:14:00,SELL,1923.30
1293,2023.06.26 22:33:00,SELL,1922.87
1294,2023.06.26 22:34:00,SELL,1922.86
1295,2023.06.26 22:35:00,SELL,1922.90
1297,2023.06.26 22:37:00,SELL,1922.50
1304,2023.06.26 22:44:00,SELL,1922.65
1310,2023.06.26 22:50:00,SELL,1922.76
1313,2023.06.26 22:53:00,SELL,1922.61
1322,2023.06.26 23:02:00,SELL,1922.93
1324,2023.06.26 23:04:00,SELL,1922.65
1326,2023.06.26 23:06:00,SELL,1923.04
1330,2023.06.26 23:10:00,SELL,1922.88
1332,2023.06.26 23:12:00,SELL,1922.70
1336,2023.06.26 23:16:00,SELL,1922.64
1340,2023.06.26 23:20:00,SELL,1922.72
1346,2023.06.26 23:26:00,SELL,1922.77
1347,2023.06.26 23:27:00,SELL,1922.86
1374,2023.06.26 23:54:00,SELL,1923.09
1375,2023.06.26 23:55:00,SELL,1923.23
1376,2023.06.26 23:56:00,SELL,1923.22
1377,2023.06.26 23:57:00,SELL,1923.07
1378,2023.06.26 23:58:00,SELL,1923.04
1379,2023.06.27 01:00:00,SELL,1923.18
