idx,time,side,price
2,2023.06.26 01:02:00,SELL,1923.74
14,2023.06.26 01:14:00,BUY,1923.86
31,2023.06.26 01:31:00,SELL,1923.43
37,2023.06.26 01:37:00,BUY,1924.13
42,2023.06.26 01:42:00,SELL,1922.80
50,2023.06.26 01:50:00,BUY,1923.43
67,2023.06.26 02:07:00,SELL,1923.98
73,2023.06.26 02:13:00,BUY,1924.55
83,2023.06.26 02:23:00,SELL,1924.52
92,2023.06.26 02:32:00,BUY,1924.92
97,2023.06.26 02:37:00,SELL,1924.51
104,2023.06.26 02:44:00,BUY,1924.58
105,2023.06.26 02:45:00,SELL,1924.47
111,2023.06.26 02:51:00,BUY,1925.20
127,2023.06.26 03:07:00,SELL,1925.97
128,2023.06.26 03:08:00,BUY,1925.72
133,2023.06.26 03:13:00,SELL,1925.98
134,2023.06.26 03:14:00,BUY,1925.80
140,2023.06.26 03:20:00,SELL,1926.02
157,2023.06.26 03:37:00,BUY,1926.15
165,2023.06.26 03:45:00,SELL,1926.05
166,2023.06.26 03:46:00,BUY,1926.50
174,2023.06.26 03:54:00,SELL,1925.81
181,2023.06.26 04:01:00,BUY,1926.94
185,2023.06.26 04:05:00,SELL,1926.04
197,2023.06.26 04:17:00,BUY,1926.63
225,2023.06.26 04:45:00,SELL,1928.04
227,2023.06.26 04:47:00,BUY,1928.20
229,2023.06.26 04:49:00,SELL,1927.53
251,2023.06.26 05:11:00,BUY,1925.38
276,2023.06.26 05:36:00,SELL,1925.71
286,2023.06.26 05:46:00,BUY,1925.19
287,2023.06.26 05:47:00,SELL,1925.18
293,2023.06.26 05:53:00,BUY,1925.24
296,2023.06.26 05:56:00,SELL,1924.68
305,2023.06.26 06:05:00,BUY,1924.94
332,2023.06.26 06:32:00,SELL,1925.88
338,2023.06.26 06:38:00,BUY,1926.73
341,2023.06.26 06:41:00,SELL,1925.69
376,2023.06.26 07:16:00,BUY,1925.13
382,2023.06.26 07:22:00,SELL,1924.69
385,2023.06.26 07:25:00,BUY,1925.06
414,2023.06.26 07:54:00,SELL,1925.08
433,2023.06.26 08:13:00,BUY,1924.97
441,2023.06.26 08:21:00,SELL,1924.39
444,2023.06.26 08:24:00,BUY,1924.62
449,2023.06.26 08:29:00,SELL,1924.54
450,2023.06.26 08:30:00,BUY,1924.31
451,2023.06.26 08:31:00,SELL,1925.09
452,2023.06.26 08:32:00,BUY,1924.72
470,2023.06.26 08:50:00,SELL,1926.47
481,2023.06.26 09:01:00,BUY,1927.02
486,2023.06.26 09:06:00,SELL,1926.17
519,2023.06.26 09:39:00,BUY,1923.36
566,2023.06.26 10:26:00,SELL,1926.43
568,2023.06.26 10:28:00,BUY,1927.03
580,2023.06.26 10:40:00,SELL,1928.23
602,2023.06.26 11:02:00,BUY,1929.52
610,2023.06.26 11:10:00,SELL,1929.42
622,2023.06.26 11:22:00,BUY,1930.22
623,2023.06.26 11:23:00,SELL,1930.11
627,2023.06.26 11:27:00,BUY,1931.06
636,2023.06.26 11:36:00,SELL,1931.71
639,2023.06.26 11:39:00,BUY,1932.49
642,2023.06.26 11:42:00,SELL,1932.39
676,2023.06.26 12:16:00,BUY,1932.25
685,2023.06.26 12:25:00,SELL,1931.51
704,2023.06.26 12:44:00,BUY,1929.95
744,2023.06.26 13:24:00,SELL,1931.36
749,2023.06.26 13:29:00,BUY,1932.04
766,2023.06.26 13:46:00,SELL,1932.88
794,2023.06.26 14:14:00,BUY,1932.31
802,2023.06.26 14:22:00,SELL,1931.50
816,2023.06.26 14:36:00,BUY,1932.35
827,2023.06.26 14:47:00,SELL,1932.00
828,2023.06.26 14:48:00,BUY,1932.07
832,2023.06.26 14:52:00,SELL,1931.93
838,2023.06.26 14:58:00,BUY,1931.72
840,2023.06.26 15:00:00,SELL,1931.30
846,2023.06.26 15:06:00,BUY,1931.90
860,2023.06.26 15:20:00,SELL,1931.45
872,2023.06.26 15:32:00,BUY,1931.74
893,2023.06.26 15:53:00,SELL,1932.78
931,2023.06.26 16:31:00,BUY,1928.37
934,2023.06.26 16:34:00,SELL,1926.13
955,2023.06.26 16:55:00,BUY,1923.99
977,2023.06.26 17:17:00,SELL,1923.18
982,2023.06.26 17:22:00,BUY,1924.12
1006,2023.06.26 17:46:00,SELL,1924.13
1023,2023.06.26 18:03:00,BUY,1923.84
1050,2023.06.26 18:30:00,SELL,1927.27
1070,2023.06.26 18:50:00,BUY,1927.78
1071,2023.06.26 18:51:00,SELL,1927.71
1090,2023.06.26 19:10:00,BUY,1926.45
1094,2023.06.26 19:14:00,SELL,1925.71
1095,2023.06.26 19:15:00,BUY,1925.84
1104,2023.06.26 19:24:00,SELL,1925.19
1115,2023.06.26 19:35:00,BUY,1924.86
1117,2023.06.26 19:37:00,SELL,1924.53
1123,2023.06.26 19:43:00,BUY,1924.75
1129,2023.06.26 19:49:00,SELL,1923.55
1136,2023.06.26 19:56:00,BUY,1924.11
1156,2023.06.26 20:16:00,SELL,1923.55
1166,2023.06.26 20:26:00,BUY,1924.08
1172,2023.06.26 20:32:00,SELL,1923.67
1173,2023.06.26 20:33:00,BUY,1923.83
1199,2023.06.26 20:59:00,SELL,1924.54
1243,2023.06.26 21:43:00,BUY,1924.39
1253,2023.06.26 21:53:00,SELL,1923.40
1267,2023.06.26 22:07:00,BUY,1923.57
1277,2023.06.26 22:17:00,SELL,1922.98
1294,2023.06.26 22:34:00,BUY,1922.86
1324,2023.06.26 23:04:00,SELL,1922.65
1327,2023.06.26 23:07:00,BUY,1922.95
1332,2023.06.26 23:12:00,SELL,1922.70
1342,2023.06.26 23:22:00,BUY,1922.85
1364,2023.06.26 23:44:00,SELL,1923.22
1366,2023.06.26 23:46:00,BUY,1923.27
1368,2023.06.26 23:48:00,SELL,1923.26
1383,2023.06.27 01:04:00,BUY,1923.80
1394,2023.06.27 01:15:00,SELL,1923.64
1418,2023.06.27 01:39:00,BUY,1924.07
1440,2023.06.27 02:01:00,SELL,1922.83
1452,2023.06.27 02:13:00,BUY,1923.40
1456,2023.06.27 02:17:00,SELL,1922.86
1468,2023.06.27 02:29:00,BUY,1922.38
1470,2023.06.27 02:31:00,SELL,1922.10
1482,2023.06.27 02:43:00,BUY,1921.76
1508,2023.06.27 03:09:00,SELL,1922.50
1515,2023.06.27 03:16:00,BUY,1922.70
