idx,time,side,price
52,2025.06.24 01:52:00,SELL,3357.60
148,2025.06.24 03:28:00,BUY,3348.89
321,2025.06.24 06:21:00,BUY,3352.78
384,2025.06.24 07:24:00,SELL,3348.91
399,2025.06.24 07:39:00,BUY,3349.10
495,2025.06.24 09:15:00,SELL,3325.58
530,2025.06.24 09:50:00,BUY,3323.10
535,2025.06.24 09:55:00,BUY,3323.98
558,2025.06.24 10:18:00,SELL,3320.44
650,2025.06.24 11:50:00,BUY,3327.53
807,2025.06.24 14:27:00,SELL,3324.39
898,2025.06.24 15:58:00,SELL,3314.68
914,2025.06.24 16:14:00,BUY,3317.44
952,2025.06.24 16:52:00,BUY,3300.28
953,2025.06.24 16:53:00,BUY,3300.35
1090,2025.06.24 19:10:00,BUY,3312.91
1197,2025.06.24 20:57:00,SELL,3318.65
1219,2025.06.24 21:19:00,BUY,3317.62
1323,2025.06.24 23:03:00,SELL,3322.54
1407,2025.06.25 01:28:00,BUY,3321.76
1443,2025.06.25 02:04:00,BUY,3322.35
1539,2025.06.25 03:40:00,BUY,3327.16
1829,2025.06.25 08:30:00,BUY,3330.39
1969,2025.06.25 10:50:00,SELL,3332.54
2014,2025.06.25 11:35:00,SELL,3328.86
2366,2025.06.25 17:27:00,SELL,3320.40
2399,2025.06.25 18:00:00,SELL,3323.23
2483,2025.06.25 19:24:00,BUY,3327.61
2491,2025.06.25 19:32:00,BUY,3330.33
2506,2025.06.25 19:47:00,BUY,3334.58
2603,2025.06.25 21:24:00,BUY,3329.94
2674,2025.06.25 22:35:00,BUY,3335.49
2682,2025.06.25 22:43:00,BUY,3335.77
2709,2025.06.25 23:10:00,SELL,3333.85
2830,2025.06.26 02:12:00,BUY,3337.15
2916,2025.06.26 03:38:00,BUY,3334.85
2961,2025.06.26 04:23:00,SELL,3332.28
3164,2025.06.26 07:46:00,SELL,3334.28
3227,2025.06.26 08:49:00,BUY,3335.87
3488,2025.06.26 13:10:00,BUY,3339.59
3510,2025.06.26 13:32:00,BUY,3340.85
3532,2025.06.26 13:54:00,BUY,3341.61
3546,2025.06.26 14:08:00,SELL,3342.00
3672,2025.06.26 16:14:00,BUY,3319.51
3682,2025.06.26 16:24:00,SELL,3323.61
3725,2025.06.26 17:07:00,BUY,3321.56
3972,2025.06.26 21:14:00,SELL,3334.03
4023,2025.06.26 22:05:00,SELL,3332.57
4048,2025.06.26 22:30:00,BUY,3330.83
4050,2025.06.26 22:32:00,SELL,3331.05
4101,2025.06.26 23:23:00,SELL,3329.65
4151,2025.06.27 01:14:00,BUY,3324.16
4192,2025.06.27 01:55:00,BUY,3320.71
4272,2025.06.27 03:15:00,SELL,3316.05
4382,2025.06.27 05:05:00,BUY,3319.57
4567,2025.06.27 08:10:00,SELL,3293.23
4676,2025.06.27 09:59:00,BUY,3294.87
4706,2025.06.27 10:29:00,BUY,3289.18
4775,2025.06.27 11:38:00,SELL,3283.75
4797,2025.06.27 12:00:00,SELL,3289.36
4836,2025.06.27 12:39:00,BUY,3287.48
4903,2025.06.27 13:46:00,BUY,3284.40
4964,2025.06.27 14:47:00,BUY,3281.13
4983,2025.06.27 15:06:00,BUY,3279.45
5001,2025.06.27 15:24:00,SELL,3279.47
5145,2025.06.27 17:48:00,SELL,3265.42
5201,2025.06.27 18:44:00,BUY,3277.02
5240,2025.06.27 19:23:00,BUY,3276.41
5421,2025.06.27 22:24:00,BUY,3270.48
5463,2025.06.27 23:06:00,BUY,3271.99
5605,2025.06.30 02:30:00,SELL,3269.10
5751,2025.06.30 04:56:00,BUY,3272.71
5783,2025.06.30 05:28:00,SELL,3280.39
6025,2025.06.30 09:30:00,BUY,3290.01
6217,2025.06.30 12:42:00,BUY,3286.49
6226,2025.06.30 12:51:00,BUY,3286.98
6239,2025.06.30 13:04:00,SELL,3287.89
6304,2025.06.30 14:09:00,SELL,3279.71
6394,2025.06.30 15:39:00,BUY,3288.27
6621,2025.06.30 19:26:00,SELL,3293.37
6691,2025.06.30 20:36:00,SELL,3295.28
6816,2025.06.30 22:41:00,SELL,3306.75
6958,2025.07.01 02:04:00,SELL,3310.14
6964,2025.07.01 02:10:00,SELL,3310.83
7023,2025.07.01 03:09:00,SELL,3310.52
7056,2025.07.01 03:42:00,BUY,3311.17
7147,2025.07.01 05:13:00,BUY,3316.54
7157,2025.07.01 05:23:00,BUY,3315.28
7197,2025.07.01 06:03:00,BUY,3317.94
7380,2025.07.01 09:06:00,SELL,3327.59
7457,2025.07.01 10:23:00,SELL,3335.73
7484,2025.07.01 10:50:00,BUY,3337.82
7564,2025.07.01 12:10:00,BUY,3339.01
7749,2025.07.01 15:15:00,BUY,3352.08
8012,2025.07.01 19:38:00,BUY,3342.07
8067,2025.07.01 20:33:00,BUY,3337.54
8180,2025.07.01 22:26:00,SELL,3338.23
8199,2025.07.01 22:45:00,BUY,3337.92
8345,2025.07.02 02:12:00,BUY,3338.84
8357,2025.07.02 02:24:00,BUY,3339.09
8384,2025.07.02 02:51:00,SELL,3336.85
8436,2025.07.02 03:43:00,SELL,3336.52
8522,2025.07.02 05:09:00,BUY,3332.14
8657,2025.07.02 07:24:00,BUY,3340.37
8698,2025.07.02 08:05:00,SELL,3340.32
8757,2025.07.02 09:04:00,SELL,3337.06
8878,2025.07.02 11:05:00,BUY,3334.08
8997,2025.07.02 13:04:00,BUY,3343.08
9023,2025.07.02 13:30:00,BUY,3343.51
9046,2025.07.02 13:53:00,BUY,3343.79
9120,2025.07.02 15:07:00,BUY,3341.67
9183,2025.07.02 16:10:00,BUY,3343.41
9203,2025.07.02 16:30:00,BUY,3344.25
9257,2025.07.02 17:24:00,BUY,3337.95
9268,2025.07.02 17:35:00,BUY,3338.70
9481,2025.07.02 21:08:00,SELL,3349.60
9493,2025.07.02 21:20:00,BUY,3351.64
9503,2025.07.02 21:30:00,SELL,3352.10
9633,2025.07.02 23:40:00,SELL,3358.47
9750,2025.07.03 02:38:00,SELL,3351.13
9946,2025.07.03 05:54:00,BUY,3350.66
9947,2025.07.03 05:55:00,BUY,3350.22
9986,2025.07.03 06:34:00,SELL,3347.26
10042,2025.07.03 07:30:00,BUY,3349.28
10071,2025.07.03 07:59:00,BUY,3350.74
10142,2025.07.03 09:10:00,SELL,3360.03
10205,2025.07.03 10:13:00,SELL,3357.81
10235,2025.07.03 10:43:00,SELL,3355.23
10294,2025.07.03 11:42:00,SELL,3355.44
10307,2025.07.03 11:55:00,BUY,3356.83
10385,2025.07.03 13:13:00,SELL,3346.71
10423,2025.07.03 13:51:00,BUY,3355.22
10450,2025.07.03 14:18:00,SELL,3347.32
10541,2025.07.03 15:49:00,BUY,3317.56
10621,2025.07.03 17:09:00,BUY,3333.01
10622,2025.07.03 17:10:00,BUY,3333.64
10677,2025.07.03 18:05:00,BUY,3325.59
10708,2025.07.03 18:36:00,SELL,3328.36
10733,2025.07.03 19:01:00,BUY,3328.25
10769,2025.07.03 19:37:00,BUY,3330.43
10780,2025.07.03 19:48:00,BUY,3334.00
10801,2025.07.03 20:09:00,SELL,3333.15
10820,2025.07.03 20:28:00,SELL,3332.52
11039,2025.07.04 01:08:00,BUY,3325.64
11040,2025.07.04 01:09:00,BUY,3324.49
11101,2025.07.04 02:10:00,SELL,3329.48
11135,2025.07.04 02:44:00,BUY,3331.78
11138,2025.07.04 02:47:00,SELL,3331.78
11209,2025.07.04 03:58:00,BUY,3328.80
11245,2025.07.04 04:34:00,SELL,3330.62
11385,2025.07.04 06:54:00,BUY,3338.39
11408,2025.07.04 07:17:00,BUY,3341.13
11448,2025.07.04 07:57:00,SELL,3340.85
11538,2025.07.04 09:27:00,SELL,3343.46
11564,2025.07.04 09:53:00,BUY,3342.33
