idx,time,side,price
50,2023.06.26 01:50:00,BUY,1923.43
51,2023.06.26 01:51:00,BUY,1923.62
68,2023.06.26 02:08:00,SELL,1924.03
124,2023.06.26 03:04:00,BUY,1925.41
152,2023.06.26 03:32:00,BUY,1925.12
200,2023.06.26 04:20:00,BUY,1926.98
268,2023.06.26 05:28:00,BUY,1926.13
269,2023.06.26 05:29:00,BUY,1926.61
288,2023.06.26 05:48:00,SELL,1924.96
355,2023.06.26 06:55:00,BUY,1925.55
360,2023.06.26 07:00:00,BUY,1925.25
367,2023.06.26 07:07:00,SELL,1924.99
384,2023.06.26 07:24:00,BUY,1925.01
458,2023.06.26 08:38:00,SELL,1926.41
472,2023.06.26 08:52:00,SELL,1926.62
633,2023.06.26 11:33:00,BUY,1931.77
758,2023.06.26 13:38:00,SELL,1933.08
771,2023.06.26 13:51:00,SELL,1932.64
772,2023.06.26 13:52:00,BUY,1932.65
788,2023.06.26 14:08:00,BUY,1931.87
793,2023.06.26 14:13:00,BUY,1932.10
807,2023.06.26 14:27:00,SELL,1931.75
818,2023.06.26 14:38:00,SELL,1932.38
825,2023.06.26 14:45:00,SELL,1931.77
835,2023.06.26 14:55:00,BUY,1931.36
847,2023.06.26 15:07:00,SELL,1932.10
887,2023.06.26 15:47:00,SELL,1932.74
959,2023.06.26 16:59:00,BUY,1924.76
1077,2023.06.26 18:57:00,SELL,1925.62
1083,2023.06.26 19:03:00,SELL,1925.79
1182,2023.06.26 20:42:00,BUY,1924.01
1204,2023.06.26 21:04:00,BUY,1924.79
1211,2023.06.26 21:11:00,SELL,1924.03
1235,2023.06.26 21:35:00,SELL,1923.52
1264,2023.06.26 22:04:00,SELL,1922.98
1280,2023.06.26 22:20:00,BUY,1923.24
1284,2023.06.26 22:24:00,SELL,1922.77
1322,2023.06.26 23:02:00,SELL,1922.93
1352,2023.06.26 23:32:00,SELL,1923.09
1374,2023.06.26 23:54:00,BUY,1923.09
1393,2023.06.27 01:14:00,BUY,1923.64
1411,2023.06.27 01:32:00,SELL,1923.70
1441,2023.06.27 02:02:00,BUY,1922.85
1442,2023.06.27 02:03:00,BUY,1922.92
1446,2023.06.27 02:07:00,SELL,1923.29
1467,2023.06.27 02:28:00,SELL,1922.55
1523,2023.06.27 03:24:00,BUY,1922.71
1590,2023.06.27 04:31:00,BUY,1925.75
1613,2023.06.27 04:54:00,SELL,1929.37
1653,2023.06.27 05:34:00,BUY,1927.22
1692,2023.06.27 06:13:00,SELL,1928.50
1702,2023.06.27 06:23:00,SELL,1928.74
1704,2023.06.27 06:25:00,SELL,1928.71
1712,2023.06.27 06:33:00,SELL,1928.99
1733,2023.06.27 06:54:00,SELL,1928.59
1811,2023.06.27 08:12:00,BUY,1929.14
1830,2023.06.27 08:31:00,SELL,1928.29
1943,2023.06.27 10:24:00,BUY,1928.98
1971,2023.06.27 10:52:00,BUY,1928.48
1998,2023.06.27 11:19:00,SELL,1926.38
2004,2023.06.27 11:25:00,BUY,1925.79
2007,2023.06.27 11:28:00,BUY,1925.63
2026,2023.06.27 11:47:00,SELL,1924.31
2031,2023.06.27 11:52:00,SELL,1925.08
2081,2023.06.27 12:42:00,BUY,1924.21
2105,2023.06.27 13:06:00,BUY,1924.12
2107,2023.06.27 13:08:00,BUY,1923.81
2131,2023.06.27 13:32:00,SELL,1924.09
2142,2023.06.27 13:43:00,BUY,1923.49
2188,2023.06.27 14:29:00,BUY,1920.69
2321,2023.06.27 16:42:00,BUY,1929.19
2322,2023.06.27 16:43:00,SELL,1928.62
2337,2023.06.27 16:58:00,SELL,1922.90
2349,2023.06.27 17:10:00,SELL,1917.34
2389,2023.06.27 17:50:00,BUY,1918.82
2404,2023.06.27 18:05:00,SELL,1916.79
2571,2023.06.27 20:52:00,BUY,1912.50
2590,2023.06.27 21:11:00,SELL,1911.98
2608,2023.06.27 21:29:00,BUY,1913.29
2645,2023.06.27 22:06:00,BUY,1914.59
2675,2023.06.27 22:36:00,BUY,1915.58
2685,2023.06.27 22:46:00,BUY,1914.72
2692,2023.06.27 22:53:00,SELL,1913.95
2740,2023.06.27 23:41:00,BUY,1913.17
2753,2023.06.27 23:54:00,SELL,1913.07
2775,2023.06.28 01:17:00,BUY,1914.66
2901,2023.06.28 03:23:00,SELL,1916.49
2921,2023.06.28 03:43:00,SELL,1915.50
2925,2023.06.28 03:47:00,BUY,1915.59
2977,2023.06.28 04:39:00,SELL,1915.46
2985,2023.06.28 04:47:00,SELL,1915.57
3016,2023.06.28 05:18:00,SELL,1915.66
3024,2023.06.28 05:26:00,SELL,1913.95
3029,2023.06.28 05:31:00,BUY,1914.40
3041,2023.06.28 05:43:00,SELL,1914.87
3092,2023.06.28 06:34:00,SELL,1915.80
3122,2023.06.28 07:04:00,SELL,1915.20
3126,2023.06.28 07:08:00,SELL,1915.45
3152,2023.06.28 07:34:00,BUY,1915.42
3174,2023.06.28 07:56:00,SELL,1915.13
3177,2023.06.28 07:59:00,SELL,1915.21
3205,2023.06.28 08:27:00,BUY,1915.40
3207,2023.06.28 08:29:00,BUY,1915.63
3271,2023.06.28 09:33:00,SELL,1913.09
3280,2023.06.28 09:42:00,SELL,1911.45
3283,2023.06.28 09:45:00,BUY,1910.23
3302,2023.06.28 10:04:00,BUY,1910.60
