idx,time,side,price
11,2024.06.24 01:11:00,BUY,2320.80
12,2024.06.24 01:12:00,SELL,2320.81
13,2024.06.24 01:13:00,BUY,2320.35
15,2024.06.24 01:15:00,SELL,2320.67
18,2024.06.24 01:18:00,BUY,2321.11
19,2024.06.24 01:19:00,SELL,2321.06
20,2024.06.24 01:20:00,BUY,2321.18
23,2024.06.24 01:23:00,SELL,2321.05
24,2024.06.24 01:24:00,BUY,2321.03
28,2024.06.24 01:28:00,SELL,2321.18
29,2024.06.24 01:29:00,BUY,2321.16
31,2024.06.24 01:31:00,SELL,2321.15
32,2024.06.24 01:32:00,BUY,2321.16
45,2024.06.24 01:45:00,SELL,2321.56
47,2024.06.24 01:47:00,BUY,2322.08
54,2024.06.24 01:54:00,SELL,2321.59
55,2024.06.24 01:55:00,BUY,2321.68
57,2024.06.24 01:57:00,SELL,2321.63
87,2024.06.24 02:27:00,BUY,2320.20
88,2024.06.24 02:28:00,SELL,2320.29
89,2024.06.24 02:29:00,BUY,2320.12
91,2024.06.24 02:31:00,SELL,2319.78
93,2024.06.24 02:33:00,BUY,2319.79
94,2024.06.24 02:34:00,SELL,2320.01
118,2024.06.24 02:58:00,BUY,2319.14
131,2024.06.24 03:11:00,SELL,2319.38
139,2024.06.24 03:19:00,BUY,2319.72
141,2024.06.24 03:21:00,SELL,2319.44
142,2024.06.24 03:22:00,BUY,2319.28
143,2024.06.24 03:23:00,SELL,2319.56
144,2024.06.24 03:24:00,BUY,2319.34
146,2024.06.24 03:26:00,SELL,2318.77
155,2024.06.24 03:35:00,BUY,2319.91
171,2024.06.24 03:51:00,SELL,2321.07
172,2024.06.24 03:52:00,BUY,2321.07
174,2024.06.24 03:54:00,BUY,2321.55
177,2024.06.24 03:57:00,SELL,2320.99
179,2024.06.24 03:59:00,BUY,2320.88
180,2024.06.24 04:00:00,SELL,2319.13
185,2024.06.24 04:05:00,BUY,2322.02
197,2024.06.24 04:17:00,SELL,2322.55
200,2024.06.24 04:20:00,BUY,2323.15
220,2024.06.24 04:40:00,SELL,2324.75
221,2024.06.24 04:41:00,BUY,2324.66
222,2024.06.24 04:42:00,SELL,2325.20
225,2024.06.24 04:45:00,BUY,2325.48
228,2024.06.24 04:48:00,SELL,2325.48
229,2024.06.24 04:49:00,BUY,2325.61
233,2024.06.24 04:53:00,SELL,2324.92
234,2024.06.24 04:54:00,BUY,2324.43
235,2024.06.24 04:55:00,SELL,2324.59
263,2024.06.24 05:23:00,BUY,2320.98
293,2024.06.24 05:53:00,SELL,2324.81
294,2024.06.24 05:54:00,BUY,2324.65
295,2024.06.24 05:55:00,SELL,2324.58
296,2024.06.24 05:56:00,BUY,2324.54
309,2024.06.24 06:09:00,SELL,2324.93
310,2024.06.24 06:10:00,BUY,2325.12
311,2024.06.24 06:11:00,SELL,2325.50
312,2024.06.24 06:12:00,BUY,2325.39
313,2024.06.24 06:13:00,SELL,2326.10
314,2024.06.24 06:14:00,BUY,2325.34
324,2024.06.24 06:24:00,SELL,2325.26
333,2024.06.24 06:33:00,BUY,2325.78
336,2024.06.24 06:36:00,SELL,2325.34
343,2024.06.24 06:43:00,BUY,2326.14
347,2024.06.24 06:47:00,SELL,2325.38
356,2024.06.24 06:56:00,BUY,2325.35
