idx,time,side,price
3,2024.06.24 01:03:00,BUY,2319.67
45,2024.06.24 01:45:00,SELL,2321.56
47,2024.06.24 01:47:00,BUY,2322.08
54,2024.06.24 01:54:00,SELL,2321.59
70,2024.06.24 02:10:00,BUY,2320.84
71,2024.06.24 02:11:00,SELL,2320.75
86,2024.06.24 02:26:00,BUY,2320.27
88,2024.06.24 02:28:00,SELL,2320.29
89,2024.06.24 02:29:00,BUY,2320.12
90,2024.06.24 02:30:00,SELL,2319.88
119,2024.06.24 02:59:00,BUY,2319.17
128,2024.06.24 03:08:00,SELL,2319.24
131,2024.06.24 03:11:00,BUY,2319.38
132,2024.06.24 03:12:00,SELL,2319.49
140,2024.06.24 03:20:00,BUY,2319.59
143,2024.06.24 03:23:00,SELL,2319.56
144,2024.06.24 03:24:00,BUY,2319.34
145,2024.06.24 03:25:00,SELL,2318.99
153,2024.06.24 03:33:00,BUY,2319.51
177,2024.06.24 03:57:00,SELL,2320.99
184,2024.06.24 04:04:00,BUY,2321.72
196,2024.06.24 04:16:00,SELL,2322.43
197,2024.06.24 04:17:00,BUY,2322.55
220,2024.06.24 04:40:00,SELL,2324.75
221,2024.06.24 04:41:00,BUY,2324.66
232,2024.06.24 04:52:00,SELL,2324.34
264,2024.06.24 05:24:00,BUY,2320.87
265,2024.06.24 05:25:00,SELL,2320.88
267,2024.06.24 05:27:00,BUY,2320.97
309,2024.06.24 06:09:00,SELL,2324.93
310,2024.06.24 06:10:00,BUY,2325.12
323,2024.06.24 06:23:00,SELL,2325.25
327,2024.06.24 06:27:00,BUY,2325.96
333,2024.06.24 06:33:00,SELL,2325.78
334,2024.06.24 06:34:00,BUY,2325.49
335,2024.06.24 06:35:00,SELL,2325.21
341,2024.06.24 06:41:00,BUY,2325.86
346,2024.06.24 06:46:00,SELL,2325.05
354,2024.06.24 06:54:00,BUY,2325.32
355,2024.06.24 06:55:00,SELL,2325.31
357,2024.06.24 06:57:00,BUY,2325.55
363,2024.06.24 07:03:00,SELL,2325.39
364,2024.06.24 07:04:00,BUY,2325.32
365,2024.06.24 07:05:00,SELL,2325.32
368,2024.06.24 07:08:00,BUY,2325.54
380,2024.06.24 07:20:00,SELL,2325.68
385,2024.06.24 07:25:00,BUY,2325.63
386,2024.06.24 07:26:00,SELL,2325.34
389,2024.06.24 07:29:00,BUY,2325.83
392,2024.06.24 07:32:00,SELL,2325.08
421,2024.06.24 08:01:00,BUY,2324.79
439,2024.06.24 08:19:00,SELL,2325.61
440,2024.06.24 08:20:00,BUY,2325.82
449,2024.06.24 08:29:00,SELL,2325.69
451,2024.06.24 08:31:00,BUY,2326.88
454,2024.06.24 08:34:00,SELL,2325.55
467,2024.06.24 08:47:00,BUY,2324.65
472,2024.06.24 08:52:00,SELL,2324.94
473,2024.06.24 08:53:00,BUY,2324.91
478,2024.06.24 08:58:00,SELL,2325.00
479,2024.06.24 08:59:00,BUY,2325.10
