idx,time,side,price
20,2024.06.24 01:20:00,SELL,2321.18
22,2024.06.24 01:22:00,SELL,2320.80
27,2024.06.24 01:27:00,SELL,2321.27
37,2024.06.24 01:37:00,SELL,2321.55
41,2024.06.24 01:41:00,SELL,2321.76
51,2024.06.24 01:51:00,SELL,2322.13
53,2024.06.24 01:53:00,SELL,2321.55
65,2024.06.24 02:05:00,BUY,2321.00
69,2024.06.24 02:09:00,BUY,2321.17
78,2024.06.24 02:18:00,BUY,2320.05
81,2024.06.24 02:21:00,BUY,2319.87
83,2024.06.24 02:23:00,BUY,2320.06
93,2024.06.24 02:33:00,BUY,2319.79
100,2024.06.24 02:40:00,BUY,2319.61
110,2024.06.24 02:50:00,BUY,2318.10
112,2024.06.24 02:52:00,BUY,2318.13
116,2024.06.24 02:56:00,BUY,2317.82
126,2024.06.24 03:06:00,SELL,2320.45
149,2024.06.24 03:29:00,BUY,2318.38
157,2024.06.24 03:37:00,SELL,2319.88
164,2024.06.24 03:44:00,SELL,2321.09
167,2024.06.24 03:47:00,SELL,2321.06
176,2024.06.24 03:56:00,SELL,2320.97
182,2024.06.24 04:02:00,BUY,2319.81
191,2024.06.24 04:11:00,SELL,2322.19
208,2024.06.24 04:28:00,SELL,2324.54
214,2024.06.24 04:34:00,SELL,2324.82
228,2024.06.24 04:48:00,SELL,2325.48
240,2024.06.24 05:00:00,BUY,2323.09
244,2024.06.24 05:04:00,BUY,2322.74
248,2024.06.24 05:08:00,BUY,2322.19
255,2024.06.24 05:15:00,BUY,2320.56
258,2024.06.24 05:18:00,BUY,2320.65
274,2024.06.24 05:34:00,SELL,2322.50
277,2024.06.24 05:37:00,SELL,2322.43
286,2024.06.24 05:46:00,SELL,2324.36
295,2024.06.24 05:55:00,SELL,2324.58
305,2024.06.24 06:05:00,SELL,2324.97
315,2024.06.24 06:15:00,SELL,2325.87
319,2024.06.24 06:19:00,SELL,2326.13
376,2024.06.24 07:16:00,SELL,2326.02
397,2024.06.24 07:37:00,BUY,2325.19
405,2024.06.24 07:45:00,BUY,2324.67
411,2024.06.24 07:51:00,BUY,2324.77
420,2024.06.24 08:00:00,BUY,2324.90
428,2024.06.24 08:08:00,SELL,2325.30
437,2024.06.24 08:17:00,SELL,2325.54
444,2024.06.24 08:24:00,SELL,2326.05
453,2024.06.24 08:33:00,SELL,2325.93
463,2024.06.24 08:43:00,BUY,2324.17
488,2024.06.24 09:08:00,BUY,2323.52
500,2024.06.24 09:20:00,BUY,2322.81
503,2024.06.24 09:23:00,BUY,2322.72
516,2024.06.24 09:36:00,SELL,2324.96
518,2024.06.24 09:38:00,SELL,2324.78
532,2024.06.24 09:52:00,BUY,2323.26
547,2024.06.24 10:07:00,BUY,2322.66
556,2024.06.24 10:16:00,SELL,2325.06
558,2024.06.24 10:18:00,SELL,2324.76
561,2024.06.24 10:21:00,SELL,2325.20
566,2024.06.24 10:26:00,SELL,2326.01
576,2024.06.24 10:36:00,SELL,2328.70
588,2024.06.24 10:48:00,SELL,2330.90
607,2024.06.24 11:07:00,SELL,2331.37
614,2024.06.24 11:14:00,BUY,2330.49
656,2024.06.24 11:56:00,SELL,2330.57
663,2024.06.24 12:03:00,BUY,2328.89
671,2024.06.24 12:11:00,BUY,2328.19
685,2024.06.24 12:25:00,SELL,2329.86
691,2024.06.24 12:31:00,BUY,2326.83
695,2024.06.24 12:35:00,BUY,2324.77
699,2024.06.24 12:39:00,BUY,2325.98
713,2024.06.24 12:53:00,BUY,2324.98
728,2024.06.24 13:08:00,SELL,2326.63
730,2024.06.24 13:10:00,SELL,2325.41
752,2024.06.24 13:32:00,BUY,2325.64
764,2024.06.24 13:44:00,SELL,2325.62
774,2024.06.24 13:54:00,BUY,2325.77
783,2024.06.24 14:03:00,BUY,2325.09
813,2024.06.24 14:33:00,SELL,2326.42
816,2024.06.24 14:36:00,SELL,2325.69
844,2024.06.24 15:04:00,BUY,2326.35
869,2024.06.24 15:29:00,BUY,2325.08
873,2024.06.24 15:33:00,SELL,2326.10
895,2024.06.24 15:55:00,SELL,2326.98
916,2024.06.24 16:16:00,SELL,2326.40
938,2024.06.24 16:38:00,SELL,2333.15
962,2024.06.24 17:02:00,BUY,2329.54
995,2024.06.24 17:35:00,SELL,2331.38
999,2024.06.24 17:39:00,SELL,2332.55
1014,2024.06.24 17:54:00,BUY,2330.94
1049,2024.06.24 18:29:00,BUY,2330.62
1056,2024.06.24 18:36:00,BUY,2329.64
1062,2024.06.24 18:42:00,BUY,2329.49
1071,2024.06.24 18:51:00,BUY,2327.89
1073,2024.06.24 18:53:00,BUY,2327.87
1082,2024.06.24 19:02:00,BUY,2328.05
1097,2024.06.24 19:17:00,SELL,2329.43
1116,2024.06.24 19:36:00,SELL,2330.59
1119,2024.06.24 19:39:00,SELL,2330.87
1121,2024.06.24 19:41:00,SELL,2331.04
1123,2024.06.24 19:43:00,SELL,2331.27
