idx,time,side,price
21,2025.06.24 01:21:00,SELL,3356.82
35,2025.06.24 01:35:00,BUY,3357.29
48,2025.06.24 01:48:00,SELL,3357.78
52,2025.06.24 01:52:00,BUY,3357.60
59,2025.06.24 01:59:00,SELL,3355.29
110,2025.06.24 02:50:00,BUY,3347.83
116,2025.06.24 02:56:00,SELL,3344.06
135,2025.06.24 03:15:00,BUY,3344.76
182,2025.06.24 04:02:00,SELL,3348.08
202,2025.06.24 04:22:00,BUY,3352.62
213,2025.06.24 04:33:00,SELL,3348.48
236,2025.06.24 04:56:00,BUY,3347.38
261,2025.06.24 05:21:00,SELL,3346.38
276,2025.06.24 05:36:00,BUY,3350.58
324,2025.06.24 06:24:00,SELL,3351.90
334,2025.06.24 06:34:00,BUY,3356.04
346,2025.06.24 06:46:00,SELL,3352.24
403,2025.06.24 07:43:00,BUY,3349.10
416,2025.06.24 07:56:00,SELL,3349.01
485,2025.06.24 09:05:00,BUY,3331.02
491,2025.06.24 09:11:00,SELL,3326.72
528,2025.06.24 09:48:00,BUY,3322.27
551,2025.06.24 10:11:00,SELL,3318.16
567,2025.06.24 10:27:00,BUY,3321.45
587,2025.06.24 10:47:00,SELL,3323.27
597,2025.06.24 10:57:00,BUY,3329.73
613,2025.06.24 11:13:00,SELL,3330.07
616,2025.06.24 11:16:00,BUY,3330.70
627,2025.06.24 11:27:00,SELL,3326.92
642,2025.06.24 11:42:00,BUY,3327.70
653,2025.06.24 11:53:00,SELL,3324.72
701,2025.06.24 12:41:00,BUY,3321.90
711,2025.06.24 12:51:00,SELL,3319.71
727,2025.06.24 13:07:00,BUY,3321.01
778,2025.06.24 13:58:00,SELL,3324.98
798,2025.06.24 14:18:00,BUY,3327.33
810,2025.06.24 14:30:00,SELL,3323.91
890,2025.06.24 15:50:00,BUY,3314.07
909,2025.06.24 16:09:00,SELL,3313.86
913,2025.06.24 16:13:00,BUY,3317.40
924,2025.06.24 16:24:00,SELL,3312.30
958,2025.06.24 16:58:00,BUY,3300.76
984,2025.06.24 17:24:00,SELL,3303.47
993,2025.06.24 17:33:00,BUY,3308.61
1002,2025.06.24 17:42:00,SELL,3304.38
1010,2025.06.24 17:50:00,BUY,3307.71
1021,2025.06.24 18:01:00,SELL,3302.22
1039,2025.06.24 18:19:00,BUY,3304.10
1072,2025.06.24 18:52:00,SELL,3314.14
1103,2025.06.24 19:23:00,BUY,3313.90
1113,2025.06.24 19:33:00,SELL,3313.19
1117,2025.06.24 19:37:00,BUY,3313.54
1159,2025.06.24 20:19:00,SELL,3318.86
1164,2025.06.24 20:24:00,BUY,3320.52
1165,2025.06.24 20:25:00,SELL,3319.79
1167,2025.06.24 20:27:00,BUY,3319.78
1189,2025.06.24 20:49:00,SELL,3319.70
1225,2025.06.24 21:25:00,BUY,3316.66
1227,2025.06.24 21:27:00,SELL,3316.86
1243,2025.06.24 21:43:00,BUY,3318.10
1257,2025.06.24 21:57:00,SELL,3316.38
1267,2025.06.24 22:07:00,BUY,3316.60
1271,2025.06.24 22:11:00,SELL,3316.62
1283,2025.06.24 22:23:00,BUY,3317.69
1315,2025.06.24 22:55:00,SELL,3322.47
1328,2025.06.24 23:08:00,BUY,3324.25
1342,2025.06.24 23:22:00,SELL,3323.36
1359,2025.06.24 23:39:00,BUY,3322.85
1362,2025.06.24 23:42:00,SELL,3322.64
1370,2025.06.24 23:50:00,BUY,3323.27
1387,2025.06.25 01:08:00,SELL,3322.74
1413,2025.06.25 01:34:00,BUY,3322.04
1419,2025.06.25 01:40:00,SELL,3321.35
1430,2025.06.25 01:51:00,BUY,3321.66
1439,2025.06.25 02:00:00,SELL,3321.79
1442,2025.06.25 02:03:00,BUY,3322.68
1468,2025.06.25 02:29:00,SELL,3322.81
1482,2025.06.25 02:43:00,BUY,3323.28
1540,2025.06.25 03:41:00,SELL,3326.50
1557,2025.06.25 03:58:00,BUY,3327.39
1588,2025.06.25 04:29:00,SELL,3328.85
1598,2025.06.25 04:39:00,BUY,3332.61
1629,2025.06.25 05:10:00,SELL,3333.07
1685,2025.06.25 06:06:00,BUY,3329.80
1710,2025.06.25 06:31:00,SELL,3329.98
1761,2025.06.25 07:22:00,BUY,3328.69
1772,2025.06.25 07:33:00,SELL,3327.12
1789,2025.06.25 07:50:00,BUY,3328.39
1803,2025.06.25 08:04:00,SELL,3328.02
1807,2025.06.25 08:08:00,BUY,3328.01
1827,2025.06.25 08:28:00,SELL,3329.71
1830,2025.06.25 08:31:00,BUY,3330.32
1858,2025.06.25 08:59:00,SELL,3331.61
1887,2025.06.25 09:28:00,BUY,3330.75
1895,2025.06.25 09:36:00,SELL,3330.71
1903,2025.06.25 09:44:00,BUY,3332.56
1922,2025.06.25 10:03:00,SELL,3331.22
1946,2025.06.25 10:27:00,BUY,3332.70
1973,2025.06.25 10:54:00,SELL,3331.45
2010,2025.06.25 11:31:00,BUY,3329.11
2031,2025.06.25 11:52:00,SELL,3327.94
2065,2025.06.25 12:26:00,BUY,3323.84
2073,2025.06.25 12:34:00,SELL,3322.71
2085,2025.06.25 12:46:00,BUY,3324.03
2125,2025.06.25 13:26:00,SELL,3325.81
2149,2025.06.25 13:50:00,BUY,3327.78
2159,2025.06.25 14:00:00,SELL,3324.97
2168,2025.06.25 14:09:00,BUY,3327.63
2186,2025.06.25 14:27:00,SELL,3326.56
2200,2025.06.25 14:41:00,BUY,3326.06
2201,2025.06.25 14:42:00,SELL,3324.69
2229,2025.06.25 15:10:00,BUY,3325.24
2254,2025.06.25 15:35:00,SELL,3325.65
2280,2025.06.25 16:01:00,BUY,3321.03
2284,2025.06.25 16:05:00,SELL,3316.79
2302,2025.06.25 16:23:00,BUY,3316.94
2310,2025.06.25 16:31:00,SELL,3315.01
2326,2025.06.25 16:47:00,BUY,3316.91
2365,2025.06.25 17:26:00,SELL,3319.46
2369,2025.06.25 17:30:00,BUY,3322.33
2385,2025.06.25 17:46:00,SELL,3321.67
2390,2025.06.25 17:51:00,BUY,3325.93
2421,2025.06.25 18:22:00,SELL,3324.17
2440,2025.06.25 18:41:00,BUY,3326.30
2463,2025.06.25 19:04:00,SELL,3327.50
2464,2025.06.25 19:05:00,BUY,3327.11
2530,2025.06.25 20:11:00,SELL,3335.11
2572,2025.06.25 20:53:00,BUY,3328.07
2589,2025.06.25 21:10:00,SELL,3326.74
2598,2025.06.25 21:19:00,BUY,3329.02
2619,2025.06.25 21:40:00,SELL,3329.58
2624,2025.06.25 21:45:00,BUY,3329.86
2651,2025.06.25 22:12:00,SELL,3331.22
2662,2025.06.25 22:23:00,BUY,3331.69
2690,2025.06.25 22:51:00,SELL,3333.48
2704,2025.06.25 23:05:00,BUY,3334.27
2713,2025.06.25 23:14:00,SELL,3332.40
2730,2025.06.25 23:31:00,BUY,3332.90
2736,2025.06.25 23:37:00,SELL,3332.79
2737,2025.06.25 23:38:00,BUY,3332.90
2739,2025.06.25 23:40:00,SELL,3332.85
2743,2025.06.25 23:44:00,BUY,3333.57
2752,2025.06.25 23:53:00,SELL,3332.71
2760,2025.06.26 01:02:00,BUY,3335.12
2775,2025.06.26 01:17:00,SELL,3332.42
2793,2025.06.26 01:35:00,BUY,3332.86
2812,2025.06.26 01:54:00,SELL,3334.02
