idx,time,side,price
2,2024.06.24 01:02:00,BUY,2319.01
3,2024.06.24 01:03:00,BUY,2319.67
4,2024.06.24 01:04:00,BUY,2320.88
17,2024.06.24 01:17:00,BUY,2321.58
46,2024.06.24 01:46:00,BUY,2321.99
129,2024.06.24 03:09:00,SELL,2319.22
132,2024.06.24 03:12:00,SELL,2319.49
134,2024.06.24 03:14:00,SELL,2319.00
138,2024.06.24 03:18:00,SELL,2319.29
139,2024.06.24 03:19:00,SELL,2319.72
140,2024.06.24 03:20:00,BUY,2319.59
143,2024.06.24 03:23:00,SELL,2319.56
145,2024.06.24 03:25:00,SELL,2318.99
152,2024.06.24 03:32:00,SELL,2319.04
178,2024.06.24 03:58:00,BUY,2320.99
180,2024.06.24 04:00:00,BUY,2319.13
181,2024.06.24 04:01:00,SELL,2319.69
184,2024.06.24 04:04:00,BUY,2321.72
196,2024.06.24 04:16:00,BUY,2322.43
216,2024.06.24 04:36:00,BUY,2324.94
220,2024.06.24 04:40:00,BUY,2324.75
307,2024.06.24 06:07:00,BUY,2324.99
310,2024.06.24 06:10:00,BUY,2325.12
311,2024.06.24 06:11:00,BUY,2325.50
327,2024.06.24 06:27:00,BUY,2325.96
330,2024.06.24 06:30:00,BUY,2326.07
334,2024.06.24 06:34:00,BUY,2325.49
341,2024.06.24 06:41:00,BUY,2325.86
342,2024.06.24 06:42:00,BUY,2325.95
354,2024.06.24 06:54:00,BUY,2325.32
358,2024.06.24 06:58:00,BUY,2325.51
368,2024.06.24 07:08:00,BUY,2325.54
369,2024.06.24 07:09:00,BUY,2325.52
385,2024.06.24 07:25:00,BUY,2325.63
389,2024.06.24 07:29:00,BUY,2325.83
390,2024.06.24 07:30:00,BUY,2325.97
391,2024.06.24 07:31:00,BUY,2325.30
421,2024.06.24 08:01:00,BUY,2324.79
423,2024.06.24 08:03:00,BUY,2325.33
430,2024.06.24 08:10:00,BUY,2325.34
451,2024.06.24 08:31:00,BUY,2326.88
467,2024.06.24 08:47:00,BUY,2324.65
468,2024.06.24 08:48:00,SELL,2324.67
469,2024.06.24 08:49:00,SELL,2325.15
470,2024.06.24 08:50:00,BUY,2324.96
471,2024.06.24 08:51:00,BUY,2324.51
472,2024.06.24 08:52:00,SELL,2324.94
473,2024.06.24 08:53:00,BUY,2324.91
474,2024.06.24 08:54:00,BUY,2325.13
475,2024.06.24 08:55:00,BUY,2325.43
479,2024.06.24 08:59:00,BUY,2325.10
481,2024.06.24 09:01:00,SELL,2324.44
496,2024.06.24 09:16:00,SELL,2322.82
497,2024.06.24 09:17:00,SELL,2323.20
522,2024.06.24 09:42:00,SELL,2324.05
523,2024.06.24 09:43:00,SELL,2323.96
525,2024.06.24 09:45:00,SELL,2323.54
541,2024.06.24 10:01:00,SELL,2323.25
542,2024.06.24 10:02:00,SELL,2323.04
543,2024.06.24 10:03:00,SELL,2322.92
544,2024.06.24 10:04:00,SELL,2322.18
617,2024.06.24 11:17:00,BUY,2331.02
627,2024.06.24 11:27:00,BUY,2330.58
633,2024.06.24 11:33:00,BUY,2330.64
642,2024.06.24 11:42:00,BUY,2330.05
644,2024.06.24 11:44:00,BUY,2330.49
645,2024.06.24 11:45:00,BUY,2330.03
652,2024.06.24 11:52:00,BUY,2331.08
661,2024.06.24 12:01:00,BUY,2329.04
676,2024.06.24 12:16:00,BUY,2328.65
679,2024.06.24 12:19:00,BUY,2329.57
707,2024.06.24 12:47:00,SELL,2326.22
718,2024.06.24 12:58:00,SELL,2324.85
721,2024.06.24 13:01:00,SELL,2324.52
731,2024.06.24 13:11:00,SELL,2325.89
737,2024.06.24 13:17:00,SELL,2325.86
742,2024.06.24 13:22:00,SELL,2325.50
743,2024.06.24 13:23:00,SELL,2325.57
745,2024.06.24 13:25:00,SELL,2325.67
746,2024.06.24 13:26:00,SELL,2325.09
747,2024.06.24 13:27:00,SELL,2325.15
764,2024.06.24 13:44:00,SELL,2325.62
767,2024.06.24 13:47:00,SELL,2325.58
768,2024.06.24 13:48:00,SELL,2325.82
771,2024.06.24 13:51:00,SELL,2325.51
776,2024.06.24 13:56:00,SELL,2324.97
782,2024.06.24 14:02:00,SELL,2325.33
783,2024.06.24 14:03:00,SELL,2325.09
784,2024.06.24 14:04:00,SELL,2325.12
786,2024.06.24 14:06:00,SELL,2325.58
790,2024.06.24 14:10:00,SELL,2325.42
794,2024.06.24 14:14:00,SELL,2325.05
809,2024.06.24 14:29:00,SELL,2325.49
818,2024.06.24 14:38:00,SELL,2326.14
838,2024.06.24 14:58:00,SELL,2326.46
845,2024.06.24 15:05:00,BUY,2326.36
846,2024.06.24 15:06:00,BUY,2326.49
849,2024.06.24 15:09:00,SELL,2325.32
852,2024.06.24 15:12:00,SELL,2326.11
854,2024.06.24 15:14:00,SELL,2325.86
855,2024.06.24 15:15:00,SELL,2325.54
